enz	rxns	protein_stoich	MW (g/mmol)	status
YGR254W	ENO_c	YGR254W:1	47.2297	automatically added
YHR174W	ENO_c	YHR174W:1	47.32373	automatically added
YMR323W	ENO_c	YMR323W:1	47.71715	automatically added
YOR393W	ENO_c	YOR393W:1	47.73011	automatically added
YPL281C	ENO_c	YPL281C:1	47.73011	automatically added
YDR452W	ENPP_c	YDR452W:1	78.99554	automatically added
YJR153W	EPGALURS_e	YJR153W:1	37.63341	automatically added
YOR011W	EPISTt_c_e,FECOSTt_e,FECOSTt_en,LANOSTt_c_e,ZYMSTt_e_en,ZYMSTt_c_en	YOR011W:1	159.12231	automatically added
YIL013C	EPISTt_c_e,FECOSTt_e,FECOSTt_en,LANOSTt_c_e,ZYMSTt_e_en,ZYMSTt_c_en	YIL013C:1	161.91882	automatically added
YLR189C	ERGSTGLCT_c	YLR189C:1	137.2321	automatically added
YGR207CYOR356WYPR004C	ETFOXRq6_m	YGR207C:1,YOR356W:1,YPR004C:1	136.38616	automatically added
YDR147W	ETHAK_c	YDR147W:1	62.15834	automatically added
YHR123W	ETHAPT_rm,CHOLPT_rm	YHR123W:1	44.92724	automatically added
YKL188CYPL147W	FACOA120tabc_x,FACOA140tabc_x,FACOA160tabc_x,FACOA161tabc_x,FACOA180tabc_x,FACOA181tabc_x,FACOA200tabc_x,FACOA220tabc_x,FACOA240tabc_x,FACOA260tabc_x,DDCAt_c_x	YKL188C:1,YPL147W:1	198.88328	automatically added
YJR019C	FACOAE100_x,FACOAE120_x,FACOAE160_x,FACOAE140_x,FACOAE180_x,FACOAE80_x,FACOAE40_x,FACOAE60_x,FACOAE161_x,FACOAE181_x	YJR019C:1	40.5943	automatically added
YER015W	FACOAL100_x,FACOAL120_x,FACOAL160_x,FACOAL80_x,FACOAL140_x,FACOAL161_x,FACOAL180_x,FACOAL181_x	YER015W:1	84.16516	automatically added
YOR317W	FACOAL120_rm,FACOAL140_rm,FACOAL160_rm,FACOAL161_rm,FACOAL180_rm,FACOAL181_rm,FACOAL120_l,FACOAL140_l,FACOAL160_l,FACOAL161_l,FACOAL180_l,FACOAL181_l	YOR317W:1	78.54853	automatically added
YMR246W	FACOAL140_rm,FACOAL160_rm,FACOAL161_rm,FACOAL180_rm,FACOAL181_rm,FACOAL140_l,FACOAL160_l,FACOAL161_l,FACOAL180_l,FACOAL181_l	YMR246W:1	77.93535	automatically added
YIL009W	FACOAL200_en,FACOAL220_en,FACOAL240_en,FACOAL260_en	YIL009W:1	78.63896	automatically added
YBR041W	FACOAL220_l,FACOAL240_l,FACOAL260_l	YBR041W:1	77.79707	automatically added
YIL134W	FADH2t_c_m,FADt_c_m	YIL134W:1	34.71997	automatically added
YKL060C	FBA2_c,FBA_c,FBA3_c	YKL060C:1	39.94933	automatically added
YJL155C	FBP2_c	YJL155C:1	53.0264	automatically added
YLR345W	FBP2_c	YLR345W:1	58.86816	automatically added
YLR377C	FBP_c	YLR377C:1	38.58513	automatically added
YOR176W	FCLT_m	YOR176W:1	44.97875	automatically added
YOR388C	FDH_c	YOR388C:1	42.06685	automatically added
YMR319C	FE2t_c_e	YMR319C:1	63.31121	automatically added
YMR058W	FE2t_c_e	YMR058W:1	72.92685	automatically added
YKR052C	FE2t_c_m	YKR052C:1	33.59528	automatically added
YJL133W	FE2t_c_m	YJL133W:1	34.80131	automatically added
Q0045Q0250Q0275YDL067CYGL187CYGL191WYHR051WYJR048WYLR038CYLR395CYMR256CYNL052W	FECOOR_m	Q0045:1,Q0250:1,Q0275:1,YDL067C:1,YGL187C:1,YGL191W:1,YHR051W:1,YJR048W:1,YLR038C:1,YLR395C:1,YMR256C:1,YNL052W:1	230.96274000000003	automatically added
Q0045Q0250Q0275YDL067CYGL187CYGL191WYHR051WYIL111WYJR048WYLR038CYLR395CYMR256C	FECOOR_m	Q0045:1,Q0250:1,Q0275:1,YDL067C:1,YGL187C:1,YGL191W:1,YHR051W:1,YIL111W:1,YJR048W:1,YLR038C:1,YLR395C:1,YMR256C:1	231.01795000000004	automatically added
Q0045Q0250Q0275YDL067CYEL039CYGL187CYGL191WYHR051WYLR038CYLR395CYMR256CYNL052W	FECOOR_m	Q0045:1,Q0250:1,Q0275:1,YDL067C:1,YEL039C:1,YGL187C:1,YGL191W:1,YHR051W:1,YLR038C:1,YLR395C:1,YMR256C:1,YNL052W:1	231.31808000000004	automatically added
Q0045Q0250Q0275YDL067CYEL039CYGL187CYGL191WYHR051WYIL111WYLR038CYLR395CYMR256C	FECOOR_m	Q0045:1,Q0250:1,Q0275:1,YDL067C:1,YEL039C:1,YGL187C:1,YGL191W:1,YHR051W:1,YIL111W:1,YLR038C:1,YLR395C:1,YMR256C:1	231.37329000000005	automatically added
Q0045Q0250Q0275YDL067CYDR231CYGR062CYHR116WYJL003WYLL018C-AYPL132W	FECOOR_m	Q0045:1,Q0250:1,Q0275:1,YDL067C:1,YDR231C:1,YGR062C:1,YHR116W:1,YJL003W:1,YLL018C-A:1,YPL132W:1	251.59820000000002	automatically added
YJR048WYKR066C	FECPOR_m	YJR048W:1,YKR066C:1	52.97136	automatically added
YEL039CYKR066C	FECPOR_m	YEL039C:1,YKR066C:1	53.326699999999995	automatically added
Q0105YBL045CYDR529CYEL024WYFR033CYGR183CYHR001W-AYJL166WYJR048WYOR065WYPR191W	FECRq6_m	Q0105:1,YBL045C:1,YDR529C:1,YEL024W:1,YFR033C:1,YGR183C:1,YHR001W-A:1,YJL166W:1,YJR048W:1,YOR065W:1,YPR191W:1	264.95636	automatically added
Q0105YBL045CYDR529CYEL024WYEL039CYFR033CYGR183CYHR001W-AYJL166WYOR065WYPR191W	FECRq6_m	Q0105:1,YBL045C:1,YDR529C:1,YEL024W:1,YEL039C:1,YFR033C:1,YGR183C:1,YHR001W-A:1,YJL166W:1,YOR065W:1,YPR191W:1	265.31170000000003	automatically added
YDR428C	FKYNH_c	YDR428C:1	30.226	automatically added
YDR538W	FLPT_c	YDR538W:1	26.96714	automatically added
YBL013W	FMETTRS_m,FMETTRS_c	YBL013W:1	45.01747	automatically added
YLR011W	FMNRx_c,FMNRx2_c	YLR011W:1	21.44942	automatically added
YNL065W	FORt_c_e,GLXt_c_e,BUTt_c_e,HXAt_c_e	YNL065W:1	65.87774	automatically added
YEL047C	FRD_c	YEL047C:1	51.28959	automatically added
YJR051W	FRD_m	YJR051W:1	55.55566	automatically added
YDL090CYKL019W	FRTT4HBZ_c	YDL090C:1,YKL019W:1	86.38580999999999	automatically added
YPL069C	FRTT_c	YPL069C:1	38.95806	automatically added
YDL193WYMR101C	FRTT_l,GGTT_l,PPTT_l,PRENT6_l,PRENT7_l,PRENT8_l,PRENT9_l,PRENT10_l,PRENT11_l,PRENT12_l,PRENT13_l,PRENT14_l,PRENT15_l,PRENT16_l,PRENT17_l,PRENT18_l,PRENT19_l,PRENT20_l,PRENT21_l	YDL193W:1,YMR101C:1	83.45240000000001	automatically added
YFL011W	FRUtps_e,GALtps_e,MANtps_e,GLCt_c_e,SRBt_c_e	YFL011W:1	61.20245	automatically added
YOL156W	FRUtps_e,GALtps_e,MANtps_e,GLCt_c_e,SRBt_c_e	YOL156W:1	63.28802	automatically added
YJL219W	FRUtps_e,GALtps_e,MANtps_e,GLCt_c_e,SRBt_c_e	YJL219W:1	63.41103	automatically added
YDR342C	FRUtps_e,MANtps_e,GLCt_c_e,ARABDt_c,ARABLt_c,SRBt_c_e,RIBt_c_e	YDR342C:1	63.28848	automatically added
YHR092C	FRUtps_e,MANtps_e,GLCt_c_e,ARABDt_c,XYLt_c_e,ARABLt_c,SRBt_c_e,RIBt_c_e	YHR092C:1	64.46535	automatically added
YEL069C	FRUtps_e,MANtps_e,GLCt_c_e,SBTDt_c_e,SBTLt_c_e,SRBt_c_e	YEL069C:1	63.27959	automatically added
YNR072W	FRUtps_e,MANtps_e,GLCt_c_e,SBTDt_c_e,SBTLt_c_e,SRBt_c_e	YNR072W:1	63.37269	automatically added
YJR158W	FRUtps_e,MANtps_e,GLCt_c_e,SBTDt_c_e,SBTLt_c_e,SRBt_c_e	YJR158W:1	63.47282	automatically added
YDL245C	FRUtps_e,MANtps_e,GLCt_c_e,SBTDt_c_e,SBTLt_c_e,SRBt_c_e,XYLTt_c_e	YDL245C:1	63.4849	automatically added
YMR011W	FRUtps_e,MANtps_e,GLCt_c_e,SRBt_c_e	YMR011W:1	60.36908	automatically added
YDR345C	FRUtps_e,MANtps_e,GLCt_c_e,SRBt_c_e	YDR345C:1	63.10593	automatically added
YDR343C	FRUtps_e,MANtps_e,GLCt_c_e,SRBt_c_e	YDR343C:1	63.25846	automatically added
YHR094C	FRUtps_e,MANtps_e,GLCt_c_e,SRBt_c_e	YHR094C:1	63.81371	automatically added
YJL214W	FRUtps_e,MANtps_e,GLCt_c_e,SRBt_c_e	YJL214W:1	64.03581	automatically added
YHR096C	FRUtps_e,MANtps_e,GLCt_c_e,SRBt_c_e	YHR096C:1	66.82674	automatically added
YER183C	FTHFCL_m	YER183C:1	24.24956	automatically added
YGR204W	FTHFL_c,MTHFC_c,MTHFD_c	YGR204W:1	103.12519	automatically added
YBR084W	FTHFL_m,MTHFC_m,MTHFD_m	YBR084W:1	107.18367	automatically added
YPL262W	FUM_m,FUM_c	YPL262W:1	53.62545	automatically added
YDL022W	G3PD1r_c	YDL022W:1	43.22635	automatically added
YOL059W	G3PD1r_c,G3PD1i_m	YOL059W:1	49.8392	automatically added
YIL155C	G3PDf_m	YIL155C:1	73.02123	automatically added
YCR098C	G3PIt_c_e,G3PCt_c_e,G3PCt_c_en,G3PIt_c_en	YCR098C:1	57.82808	automatically added
YER062C	G3PT_c	YER062C:1	28.04146	automatically added
YIL053W	G3PT_c	YIL053W:1	28.1706	automatically added
YOR323C	G5SDy_c	YOR323C:1	50.16593	automatically added
YNL241C	G6PDH2i_c	YNL241C:1	58.00096	automatically added
YBR020W	GALKi_c	YBR020W:1	58.4498	automatically added
YHL012W	GALUi_c	YHL012W:1	56.45961	automatically added
YKL035W	GALUi_c	YKL035W:1	56.46738	automatically added
YNL318C	GALtps_e	YNL318C:1	61.501	automatically added
YLR081W	GALtps_e,GLCt_c_e	YLR081W:1	64.18134	automatically added
YDR536W	GALtps_e,GLCt_c_e,GLYCtps_e	YDR536W:1	64.07809	automatically added
YGR192C	GAPD_c	YGR192C:1	36.05828	automatically added
YJL052W	GAPD_c	YJL052W:1	36.06559	automatically added
YJR009C	GAPD_c	YJR009C:1	36.15847	automatically added
YDR408C	GARFT_c	YDR408C:1	23.73201	automatically added
YGL225W	GDPMANt_c_g,GDPMANNt_c_g	YGL225W:1	37.34842	automatically added
YMR084W	GF6PTA_c	YMR084W:1	29.5089	automatically added
YKL104C	GF6PTA_c	YKL104C:1	80.73298	automatically added
YLR058C	GHMT2r_c	YLR058C:1	52.66798	automatically added
YBR263W	GHMT2r_m	YBR263W:1	54.16403	automatically added
YPR184W	GLCGSD_c	YPR184W:1	176.44462	automatically added
YIL099W	GLCGSD_v	YIL099W:1	61.96912	automatically added
YDR248C	GLCNK_c	YDR248C:1	22.34849	automatically added
YPR160W	GLCP_c	YPR160W:1	104.13414	automatically added
YDR387C	GLCt_c_e	YDR387C:1	62.04941	automatically added
YJR160C	GLCt_c_e,MALTtps_e	YJR160C:1	67.84531	automatically added
YDL247W	GLCt_c_e,MALTtps_e	YDL247W:1	68.79165	automatically added
YBR241C	GLCt_c_v	YBR241C:1	53.99447	automatically added
YGL104C	GLCt_c_v	YGL104C:1	54.81292	automatically added
YPR035W	GLNS_c	YPR035W:1	42.11058	automatically added
YOR168W	GLNTRS_c	YOR168W:1	93.9299	automatically added
YDR300C	GLU5K_c	YDR300C:1	47.56765	automatically added
YJL101C	GLUCYS_c	YJL101C:1	78.89974	automatically added
YMR250W	GLUDC_c	YMR250W:1	66.54536	automatically added
YDL215C	GLUDxi_c	YDL215C:1	125.37863	automatically added
YOR375C	GLUDy_c	YOR375C:1	49.99942	automatically added
YAL062W	GLUDy_c	YAL062W:1	50.05763	automatically added
YFL060C	GLUN_c	YFL060C:1	25.33566	automatically added
YNL334C	GLUN_c	YNL334C:1	25.41073	automatically added
YMR300C	GLUPRT_c	YMR300C:1	57.20372	automatically added
YDL171C	GLUSx_c	YDL171C:1	240.20357	automatically added
YGL105WYGL245W	GLUTRS_c	YGL105W:1,YGL245W:1	123.97466	automatically added
YOL033W	GLUTRS_m	YOL033W:1	62.13792	automatically added
YBR104W	GLUt_c_m	YBR104W:1	36.87487	automatically added
YOR120W	GLYCDy_c	YOR120W:1	35.37385	automatically added
YAL044CYDR019CYFL018CYMR189W	GLYCL_m	YAL044C:1,YDR019C:1,YFL018C:1,YMR189W:1	233.74539	automatically added
YFL054C	GLYCt_e	YFL054C:1	71.13871	automatically added
YLL043W	GLYCt_e,XYLTt_c_e	YLL043W:1	74.52261	automatically added
YGL084C	GLYCtps_e	YGL084C:1	65.90032	automatically added
YJL137CYLR258W	GLYGS_c	YJL137C:1,YLR258W:1	125.6474	automatically added
YFR015CYJL137C	GLYGS_c	YFR015C:1,YJL137C:1	126.07875	automatically added
YKR058WYLR258W	GLYGS_c	YKR058W:1,YLR258W:1	151.00181	automatically added
YFR015CYKR058W	GLYGS_c	YFR015C:1,YKR058W:1	151.43316	automatically added
YHL032C	GLYK_c	YHL032C:1	80.51868	automatically added
YDR272W	GLYOX_c	YDR272W:1	31.57618	automatically added
YOR040W	GLYOX_m	YOR040W:1	32.60551	automatically added
YPR081C	GLYTRS_c	YPR081C:1	71.61775	automatically added
YBR121C	GLYTRS_c	YBR121C:1	75.97305	automatically added
YPR058W	GLYt_c_m	YPR058W:1	33.67442	automatically added
YDL119C	GLYt_c_m	YDL119C:1	34.51044	automatically added
YKR039W	GLYtps_e,ALAtps_e,ARGtps_e,ASNtps_e,ASPtps_e,CYStps_e,GLUtps_e,GLNtps_e,HIStps_e,ILEtps_e,LEUtps_e,LYStps_e,METtps_e,PHEtps_e,PROtps_e,SERtps_e,THRtps_e,TRPtps_e,TYRtps_e,VALtps_e,ORNtps_e,SPMDtpa_e,SERt_c_r,SERt_c_rm	YKR039W:1	66.24395	automatically added
YPL265W	GLYtps_e,ALAtps_e,ASNtps_e,ASPtps_e,GLUtps_e,GLNtps_e,SERtps_e	YPL265W:1	68.69977	automatically added
YCL025C	GLYtps_e,ALAtps_e,ASNtps_e,CYStps_e,GLUtps_e,GLNtps_e,ILEtps_e,LEUtps_e,METtps_e,PHEtps_e,SERtps_e,THRtps_e,TYRtps_e,VALtps_e	YCL025C:1	70.28271	automatically added
YOL020W	GLYtps_e,ALAtps_e,CYStps_e,PHEtps_e,TRPtps_e,TYRtps_e	YOL020W:1	65.98487	automatically added
YMR217W	GMPS2_c	YMR217W:1	58.97963	automatically added
YHR183W	GND_c	YHR183W:1	54.00976	automatically added
YGR256W	GND_c	YGR256W:1	54.39535	automatically added
YPL110C	GPDDA1pp_c	YPL110C:1	139.20499	automatically added
YMR281W	GPIA2_r	YMR281W:1	35.73661	automatically added
YJL091C	GPIA3_r	YJL091C:1	55.95582	automatically added
YCL052CYJR013W	GPIA5_r	YCL052C:1,YJR013W:1	95.87048	automatically added
YKL165C	GPIA6_r	YKL165C:1	106.58316	automatically added
YBR004CYNL158W	GPIA7_r	YBR004C:1,YNL158W:1	73.753	automatically added
YGL142C	GPIA8_r	YGL142C:1	73.16706	automatically added
YDR302W	GPIA9_r	YDR302W:1	25.4727	automatically added
YLL031C	GPIA9_r	YLL031C:1	116.61923	automatically added
YER163C	GTHCT_c	YER163C:1	26.49923	automatically added
YBR281CYNL191W	GTHH_c	YBR281C:1,YNL191W:1	139.42303	automatically added
YCL035CYPL091W	GTHO_c	YCL035C:1,YPL091W:1	66.37239	automatically added
YDR513WYPL091W	GTHO_c	YDR513W:1,YPL091W:1	69.89267	automatically added
YER174CYPL091W	GTHO_c	YER174C:1,YPL091W:1	81.60691	automatically added
YDR098CYPL091W	GTHO_c	YDR098C:1,YPL091W:1	82.37128	automatically added
YPL059WYPL091W	GTHO_m	YPL059W:1,YPL091W:1	70.96363	automatically added
YPL091W	GTHP_c	YPL091W:1	53.90634	automatically added
YBL064C	GTHP_m	YBL064C:1	29.74354	automatically added
YJL212C	GTHRDt_c_e,GTHOXt_c_e	YJL212C:1	92.40955	automatically added
YLL015W	GTHRDt_c_v	YLL015W:1	178.4156	automatically added
YDR135C	GTHRDtabc_v,GTHRDt_c_v	YDR135C:1	172.62982	automatically added
YOL049W	GTHS_c	YOL049W:1	56.28062	automatically added
YLR299W	GTMLT_c	YLR299W:1	73.80474	automatically added
YBL033C	GTPCII2_c	YBL033C:1	38.65152	automatically added
YGR267C	GTPCI_c	YGR267C:1	27.99284	automatically added
YDL198C	GTPGDPtp_m	YDL198C:1	33.51624	automatically added
YDL238C	GUAD_1_c	YDL238C:1	55.66189	automatically added
YDR399W	GUAPRT_c,HXPRT_c	YDR399W:1	25.38746	automatically added
YKR009C	HACD140i_x,ECOAH100_x,ECOAH120_x,ECOAH140_x,ECOAH160_x,ECOAH180_x,ECOAH260_x,ECOAH40_x,ECOAH60_x,ECOAH80_x,ECOAH200_x,ECOAH220_x,ECOAH240_x,ECOAH161b_x,ECOAH141b_x,ECOAH121a_x,ECOAH181a_x,ECOAH161c_x,ECOAH141c_x,HACD100i_x,HACD120i_x,HACD160i_x,HACD180i_x,HACD260i_x,HACD40i_x,HACD60i_x,HACD80i_x,HACD200i_x,HACD220i_x,HACD240i_x,HACD161bi_x,HACD141bi_x,HACD121ai_x,HACD181ai_x,HACD161ai_x,HACD141ai_x	YKR009C:1	99.59924	automatically added
YJL200C	HACNH_m	YJL200C:1	87.34938	automatically added
YNR041C	HBZOPT6_m	YNR041C:1	41.37933	automatically added
YDR234W	HCITR_m,HACNH_m	YDR234W:1	75.82409	automatically added
YDL182W	HCITS_c	YDL182W:1	47.50743	automatically added
YDL131W	HCITS_m	YDL131W:1	49.00768	automatically added
YNL036W	HCO3E_c	YNL036W:1	25.05994	automatically added
YPL273W	HCYSMT_c	YPL273W:1	36.96517	automatically added
YLL062C	HCYSMT_c	YLL062C:1	37.01044	automatically added
YPL172C	HEMEOS_m	YPL172C:1	52.61933	automatically added
YPL214C	HETZK_c,TMPPP_c	YPL214C:1	58.57319	automatically added
YCL040W	HEX1_c	YCL040W:1	55.84789	automatically added
YLR446W	HEX7_c,HEX1_c,HEX4_c	YLR446W:1	49.37482	automatically added
YFR053C	HEX7_c,HEX1_c,HEX4_c	YFR053C:1	54.19087	automatically added
YGL253W	HEX7_c,HEX1_c,HEX4_c	YGL253W:1	54.39791	automatically added
YIL094C	HICITD_m	YIL094C:1	40.42359	automatically added
YCL030C	HISTD_c,PRAMPC_c,PRATPP_c	YCL030C:1	88.47645	automatically added
YFR025C	HISTP_c	YFR025C:1	38.88438	automatically added
YPR033C	HISTRS_c,HISTRS_m	YPR033C:1	60.48112	automatically added
YCL069W	HIStpa_v,LYStpa_v	YCL069W:1	50.67595	automatically added
YMR088C	HIStpa_v,LYStpa_v	YMR088C:1	63.19293	automatically added
YGR191W	HIStps_e,MN2tps_c_e,MG2tps_c_e	YGR191W:1	66.59073	automatically added
YLR231C	HKYNH_c,KYN_c	YLR231C:1	51.44852	automatically added
YML075C	HMGCOAR_c	YML075C:1	116.66566	automatically added
YLR450W	HMGCOAR_c	YLR450W:1	116.719	automatically added
YML126C	HMGCOAS_c,HMGCOAS_m	YML126C:1	55.48993	automatically added
YOL055C	HMPK1_c,PMPK_c	YOL055C:1	61.79172	automatically added
YPL258C	HMPK1_c,PMPK_c	YPL258C:1	61.85367	automatically added
YPR121W	HMPK1_c,PMPK_c	YPR121W:1	63.84042	automatically added
YDR376WYER141WYPL252C	HOMOX_m	YDR376W:1,YER141W:1,YPL252C:1	130.95812	automatically added
YNL256W	HPPK2_m,DHNPA2i_m,DHPTS_m,FOLD3_m	YNL256W:1	93.91312	automatically added
YER023W	HPRORy_c,P5CR_c	YER023W:1	30.3936	automatically added
YJR139C	HSDx_c,HSDy_c	YJR139C:1	38.84273	automatically added
YNL277W	HSERTA_c	YNL277W:1	54.11596	automatically added
YHR025W	HSK_c	YHR025W:1	39.04411	automatically added
YIL116W	HSTPT_c	YIL116W:1	43.0097	automatically added
YNL037CYOR136W	ICDHx_m	YNL037C:1,YOR136W:1	79.76373	automatically added
YLR174W	ICDHy_c	YLR174W:1	46.94877	automatically added
YNL009W	ICDHy_x	YNL009W:1	48.26898	automatically added
YDL066W	ICDHyi_m	YDL066W:1	48.60599	automatically added
YER065C	ICL_1_c	YER065C:1	62.93718	automatically added
YBR248C	IG3PS_c	YBR248C:1	61.58738	automatically added
YOR202W	IGPDH_c	YOR202W:1	24.02796	automatically added
YKL211C	IGPS_c	YKL211C:1	53.95092	automatically added
YBL076C	ILETRS_c	YBL076C:1	124.0181	automatically added
YPL040C	ILETRS_m	YPL040C:1	116.78262	automatically added
YCL038C	ILEt_c_v,LEUt_c_v,TYRt_c_v	YCL038C:1	59.3572	automatically added
YMR120C	IMPC_c,AICART_c	YMR120C:1	65.83073	automatically added
YLR028C	IMPC_c,AICART_c	YLR028C:1	65.84879	automatically added
YML056C	IMPD_c	YML056C:1	56.90344	automatically added
YHR216W	IMPD_c	YHR216W:1	57.04044	automatically added
YLR432W	IMPD_c	YLR432W:1	57.08929	automatically added
YDR497C	INOSTtps_e	YDR497C:1	64.13104	automatically added
YOL103W	INOSTtps_e	YOL103W:1	67.30552	automatically added
YDR367WYKL004W	IPCS_g	YDR367W:1,YKL004W:1	71.25748	automatically added
YPL117C	IPDDI_c	YPL117C:1	33.60111	automatically added
YDR315C	IPK1_n	YDR315C:1	33.18269	automatically added
YDR173C	IPK2_n,IPK3_n,IPK4_n,IPK5_n	YDR173C:1	40.66248	automatically added
YCL018W	IPMD_c	YCL018W:1	39.29162	automatically added
YGL009C	IPPMIb_c,IPPMIa_c	YGL009C:1	86.53761	automatically added
YOR108W	IPPS_c	YOR108W:1	67.78058	automatically added
YNL104C	IPPS_c,IPPS_m	YNL104C:1	68.99819	automatically added
YDR017C	IPPYP1_c,PMI12346PS_c,IPPYP4_c,PMI1346PS_c	YDR017C:1	120.56792	automatically added
YDR072C	IPT_g	YDR072C:1	61.38258	automatically added
YGR244CYOR142W	ITCOAL_m,SUCOAS_m	YGR244C:1,YOR142W:1	82.65551	automatically added
YLR355C	KARA1i_m,KARA2i_m	YLR355C:1	44.753	automatically added
YER061CYKL192C	KAS14_m,3OAS60_m,3OAS80_m	YER061C:1,YKL192C:1	62.02735	automatically added
YBL098W	KYN3OX_c	YBL098W:1	52.8761	automatically added
YJL129C	Ktps_e	YJL129C:1	142.29788	automatically added
YDR456W	Ktps_e,NAtpa_e	YDR456W:1	70.73824	automatically added
YKL217W	LACDtps_e,LACt_c_m,LACLtps_e,PYRtps_e	YKL217W:1	69.96455	automatically added
YOL151W	LALDO3_c,LCADi_c	YOL151W:1	38.48609	automatically added
YEL071W	LDHDf_c	YEL071W:1	55.69843	automatically added
YPL160W	LEUTRS_c	YPL160W:1	125.19036	automatically added
YLR382C	LEUTRS_m	YLR382C:1	102.80349	automatically added
YML004C	LGTHL_c	YML004C:1	37.51247	automatically added
YJR048WYML054C	LLFC2O_c	YJR048W:1,YML054C:1	78.39881	automatically added
YEL039CYML054C	LLFC2O_c	YEL039C:1,YML054C:1	78.75415	automatically added
YHR007CYHR042W	LNS14DMy_c	YHR007C:1,YHR042W:1	138.65757	automatically added
YHR072W	LNSTLS_c	YHR072W:1	84.16352	automatically added
YBR042C	LPIAT_rm	YBR042C:1	45.90783	automatically added
YNL045W	LTA4H_c,LTA4H_n,LTA4H2_c,LTA4H2_n,LTA4H3_c,LTA4H3_n	YNL045W:1	77.99494	automatically added
YDR037W	LYSTRS_c	YDR037W:1	68.51792	automatically added
YNL073W	LYSTRS_m	YNL073W:1	66.69773	automatically added
YNL268W	LYStps_e	YNL268W:1	68.67996	automatically added
YJL153C	M1PS_c	YJL153C:1	60.14742	automatically added
YKL094W	MAGL_l	YKL094W:1	35.86024	automatically added
YIR031C	MALS_c	YIR031C:1	63.32141	automatically added
YNL117W	MALS_c,MALS_x	YNL117W:1	63.32452	automatically added
YJL216C	MALT_c	YJL216C:1	68.10004	automatically added
YGR292W	MALT_c	YGR292W:1	68.64334	automatically added
YBR299W	MALT_c	YBR299W:1	68.69138	automatically added
YGR287C	MALT_c	YGR287C:1	69.14168	automatically added
YIL172C	MALT_c	YIL172C:1	69.2508	automatically added
YJL221C	MALT_c	YJL221C:1	69.2508	automatically added
YBR298C	MALTtps_e	YBR298C:1	68.85323	automatically added
YGR289C	MALTtps_e,TREtps_e	YGR289C:1	68.57263	automatically added
YLR348C	MALt2_m,SUCCt2_m,PIt_m_mm	YLR348C:1	33.28533	automatically added
YDL055C	MAN1PT_c	YDL055C:1	39.9045	automatically added
YER003C	MAN6PI_c	YER003C:1	48.58932	automatically added
YPR006C	MCITL2_m	YPR006C:1	65.53238	automatically added
YPR001W	MCITS_m,CS_m	YPR001W:1	54.28485	automatically added
YKL192CYOR221C	MCOATA_m	YKL192C:1,YOR221C:1	55.091429999999995	automatically added
YOL126C	MDH_c	YOL126C:1	41.08647	automatically added
YKL085W	MDH_m	YKL085W:1	35.96769	automatically added
YDL078C	MDH_x	YDL078C:1	37.51791	automatically added
YJR024C	MDRPD_c	YJR024C:1	27.64866	automatically added
YKL029C	ME1_m,ME2_m	YKL029C:1	75.0303	automatically added
YLR180W	METAT_c	YLR180W:1	42.16686	automatically added
YDR502C	METAT_c	YDR502C:1	42.61046	automatically added
YJR130C	METB1_c	YJR130C:1	72.96077	automatically added
YGL105WYGR264C	METTRS_c	YGL105W:1,YGR264C:1	128.8429	automatically added
YGR171C	METTRS_m	YGR171C:1	67.30084	automatically added
YHL036W	METtps_e	YHL036W:1	61.15611	automatically added
YGR055W	METtps_e	YGR055W:1	63.77757	automatically added
YMR208W	MEVK1_c,MEVK2_c,MEVK3_c,MEVK4_c	YMR208W:1	48.87204	automatically added
YPL060W	MG2t_c_m	YPL060W:1	47.48261	automatically added
YOR334W	MG2t_c_m	YOR334W:1	54.67245	automatically added
YOL130W	MG2tps_c_e	YOL130W:1	96.69946	automatically added
YER091C	MHPGLUT_c,METS_c	YER091C:1	86.60105	automatically added
YDR287W	MI1PP_c	YDR287W:1	32.35922	automatically added
YHR046C	MI1PP_c	YHR046C:1	33.09177	automatically added
YBR036CYBR161W	MIPCS_g	YBR036C:1,YBR161W:1	90.58427	automatically added
YBR036CYPL057C	MIPCS_g	YBR036C:1,YPL057C:1	91.0164	automatically added
YLL061W	MMETtps_e	YLL061W:1	64.78619	automatically added
YEL031W	MN2tabc_c_r	YEL031W:1	136.45443	automatically added
YLR017W	MTAP_c	YLR017W:1	38.17627	automatically added
YKR080W	MTHFD2i_c	YKR080W:1	36.54023	automatically added
YGL125W	MTHFR3_c	YGL125W:1	69.12449	automatically added
YPL023C	MTHFR3_c	YPL023C:1	74.55483	automatically added
YBR176W	MTMOHT_m	YBR176W:1	34.76165	automatically added
YPR118W	MTRI_c	YPR118W:1	45.39882	automatically added
YBR235W	NA1CLKt_c_v	YBR235W:1	125.11151	automatically added
YDR038C	NA1tabc_c_e	YDR038C:1	121.3409	automatically added
YDR039C	NA1tabc_c_e	YDR039C:1	121.36195	automatically added
YDR040C	NA1tabc_c_e	YDR040C:1	121.40102	automatically added
YGR260W	NACt_c_e	YGR260W:1	60.64831	automatically added
YGL067W	NADDP_x	YGL067W:1	43.87795	automatically added
YDL085W	NADHq6_c	YDL085W:1	62.19071	automatically added
YMR145C	NADHq6_c	YMR145C:1	63.33064	automatically added
YML120C	NADHq6_m	YML120C:1	57.75838	automatically added
