enz	rxns	protein_stoich	MW (g/mmol)	status
YDR376W	3HXPHBH_c	YDR376W:1	56.72069	automatically added
YER175C	3IPM3MT_c,ACONMT_c	YER175C:1	35.04391	automatically added
YLR044C	3MOBDC_c,ACALDCD_c,INDPYRD_c,PYRDC_c,PYRDC2_c	YLR044C:1	62.03074	automatically added
YGR087C	3MOBDC_c,ACALDCD_c,INDPYRD_c,PYRDC_c,PYRDC2_c	YGR087C:1	62.11575	automatically added
YLR134W	3MOBDC_c,ACALDCD_c,INDPYRD_c,PYRDC_c,PYRDC2_c	YLR134W:1	62.44843	automatically added
YCR034W	3OACE200_rm,3OACE220_rm,3OACE240_rm	YCR034W:1	40.34573	automatically added
YLR372W	3OACE200_rm,3OACE220_rm,3OACE240_rm,3OACE260_rm	YLR372W:1	39.80493	automatically added
YBR159W	3OACR200_rm,3OACR220_rm,3OACR240_rm,3OACR260_rm	YBR159W:1	39.0509	automatically added
YKL055C	3OAR40_m,3OAR60_m,3OAR80_m	YKL055C:1	31.45182	automatically added
YDL210W	4ABUTtps_e,5AOPtps_e	YDL210W:1	62.42347	automatically added
YOR348C	4ABUTtps_e,GLYtps_e,ALAtps_e,PROtps_e	YOR348C:1	69.39679	automatically added
YOR163W	4DPMIPPH_c,5DPMIPPH_c,6DPMIPPH_c,PMI1346PH_c	YOR163W:1	21.74428	automatically added
YLR410W	4DPMIPPH_c,IPPYP2_c,IPPYP3_c,6DPMIPPH_c	YLR410W:1	130.89534	automatically added
YCR053W	4HTHRS_c,THRS_c	YCR053W:1	57.9606	automatically added
YKL215C	5OPROAH_c	YKL215C:1	141.68425	automatically added
YNR056C	8AONNtps_e	YNR056C:1	62.97052	automatically added
YBR115CYGL154C	AASADy_c	YBR115C:1,YGL154C:1	187.61764	automatically added
YER152C	AATA_c	YER152C:1	49.91073	automatically added
YJL060W	AATA_c,KYNAT2_c	YJL060W:1	50.50484	automatically added
YGL202W	AATA_c,UNK3_c,PHETA1_c,TRPTA_c,TYRTA_c	YGL202W:1	56.65033	automatically added
YGR019W	ABTA_c	YGR019W:1	53.39475	automatically added
YIL160C	ACACT180i_x,ACACT260i_x,ACACT160i_x,ACACT140i_x,ACACT100i_x,ACACT120i_x,ACACT40i_x,ACACT60i_x,ACACT80i_x,ACACT200i_x,ACACT220i_x,ACACT240i_x,ACACT161bi_x,ACACT141bi_x,ACACT121ai_x,ACACT181ai_x,ACACT161ai_x,ACACT141ai_x	YIL160C:1	45.13001	automatically added
YPL028W	ACACT40ir_c,ACACT40ir_m	YPL028W:1	42.10836	automatically added
YDL141WYNR016C	ACCOAC_c	YDL141W:1,YNR016C:1	329.55916	automatically added
YMR207C	ACCOAC_m	YMR207C:1	243.89632	automatically added
YFL017C	ACGAM6PS_c	YFL017C:1	18.27067	automatically added
YEL058W	ACGAMPM_c,PGAMT_c	YEL058W:1	62.591	automatically added
