id	rxn_src	enz	protein_stoich
RXN-2OXOADPt_c_m_REV-YOR222W	2OXOADPt_c_m	YOR222W	YOR222W:1
RXN-2OXOADPt_c_m_REV-YPL134C	2OXOADPt_c_m	YPL134C	YPL134C:1
RXN-2PHETOHt_c_e_FWD-SPONT	2PHETOHt_c_e	SPONT	zeroCost
RXN-2PHETOHt_c_e_REV-SPONT	2PHETOHt_c_e	SPONT	zeroCost
RXN-2PHETOHt_c_m_FWD-SPONT	2PHETOHt_c_m	SPONT	zeroCost
RXN-2PHETOHt_c_m_REV-SPONT	2PHETOHt_c_m	SPONT	zeroCost
RXN-3C3HMPt_c_e_FWD-SPONT	3C3HMPt_c_e	SPONT	zeroCost
RXN-3C3HMPt_c_e_REV-SPONT	3C3HMPt_c_e	SPONT	zeroCost
RXN-3C3HMPt_c_m_FWD-YKL120W	3C3HMPt_c_m	YKL120W	YKL120W:1
RXN-3C3HMPt_c_m_REV-YKL120W	3C3HMPt_c_m	YKL120W	YKL120W:1
RXN-3C4MOPt_c_m_FWD-SPONT	3C4MOPt_c_m	SPONT	zeroCost
RXN-3C4MOPt_c_m_REV-SPONT	3C4MOPt_c_m	SPONT	zeroCost
RXN-3DH5HPBMT_m_FWD-YDR204WYGL119WYGR255CYLR201CYML110CYOL096CYOR125C	3DH5HPBMT_m	YDR204WYGL119WYGR255CYLR201CYML110CYOL096CYOR125C	YDR204W:1,YGL119W:1,YGR255C:1,YLR201C:1,YML110C:1,YOL096C:1,YOR125C:1
RXN-3DH5HPBt_c_m_FWD-SPONT	3DH5HPBt_c_m	SPONT	zeroCost
RXN-3DH5HPBt_c_m_REV-SPONT	3DH5HPBt_c_m	SPONT	zeroCost
RXN-3DSPHR_r_FWD-YBR265W	3DSPHR_r	YBR265W	YBR265W:1
RXN-3HACD200_rm_FWD-YJL097W	3HACD200_rm	YJL097W	YJL097W:1
RXN-3HACD200_rm_REV-YJL097W	3HACD200_rm	YJL097W	YJL097W:1
RXN-3HACD220_rm_FWD-YJL097W	3HACD220_rm	YJL097W	YJL097W:1
RXN-3HACD220_rm_REV-YJL097W	3HACD220_rm	YJL097W	YJL097W:1
RXN-3HACD240_rm_FWD-YJL097W	3HACD240_rm	YJL097W	YJL097W:1
RXN-3HACD240_rm_REV-YJL097W	3HACD240_rm	YJL097W	YJL097W:1
RXN-3HACD260_rm_FWD-YJL097W	3HACD260_rm	YJL097W	YJL097W:1
RXN-3HACD260_rm_REV-YJL097W	3HACD260_rm	YJL097W	YJL097W:1
RXN-3HAD40_m_FWD-YHR067W	3HAD40_m	YHR067W	YHR067W:1
RXN-3HAD40_m_REV-YHR067W	3HAD40_m	YHR067W	YHR067W:1
RXN-3HAD60_m_FWD-YHR067W	3HAD60_m	YHR067W	YHR067W:1
RXN-3HAD60_m_REV-YHR067W	3HAD60_m	YHR067W	YHR067W:1
RXN-3HAD80_m_FWD-YHR067W	3HAD80_m	YHR067W	YHR067W:1
RXN-3HAD80_m_REV-YHR067W	3HAD80_m	YHR067W	YHR067W:1
RXN-3HAO_c_FWD-YJR025C	3HAO_c	YJR025C	YJR025C:1
RXN-3HPH5MBDC_m_FWD-YDR539W	3HPH5MBDC_m	YDR539W	YDR539W:1
RXN-3HXPHBH_c_FWD-YDR376W	3HXPHBH_c	YDR376W	YDR376W:1
RXN-3HXPHBH_c_FWD-YPL252C	3HXPHBH_c	YPL252C	YPL252C:1
RXN-3HXPHBt_c_m_FWD-SPONT	3HXPHBt_c_m	SPONT	zeroCost
RXN-3HXPHBt_c_m_REV-SPONT	3HXPHBt_c_m	SPONT	zeroCost
RXN-3IPM3MT_c_FWD-YER175C	3IPM3MT_c	YER175C	YER175C:1
RXN-3MBALDt_c_e_FWD-SPONT	3MBALDt_c_e	SPONT	zeroCost
RXN-3MBALDt_c_e_REV-SPONT	3MBALDt_c_e	SPONT	zeroCost
RXN-3MBALDt_c_m_FWD-SPONT	3MBALDt_c_m	SPONT	zeroCost
RXN-3MBALDt_c_m_REV-SPONT	3MBALDt_c_m	SPONT	zeroCost
RXN-3MLCLAT_mm_FWD-YPR140W	3MLCLAT_mm	YPR140W	YPR140W:1
RXN-3MLCLAT_mm_REV-YPR140W	3MLCLAT_mm	YPR140W	YPR140W:1
RXN-3MOBDC_c_FWD-YGR087C	3MOBDC_c	YGR087C	YGR087C:1
RXN-3MOBDC_c_FWD-YLR044C	3MOBDC_c	YLR044C	YLR044C:1
RXN-3MOBDC_c_FWD-YLR134W	3MOBDC_c	YLR134W	YLR134W:1
RXN-3MOPt_c_e_FWD-SPONT	3MOPt_c_e	SPONT	zeroCost
RXN-3MOPt_c_e_REV-SPONT	3MOPt_c_e	SPONT	zeroCost
RXN-3MOPt_c_m_FWD-SPONT	3MOPt_c_m	SPONT	zeroCost
RXN-3MOPt_c_m_REV-SPONT	3MOPt_c_m	SPONT	zeroCost
RXN-3OACE200_rm_FWD-YCR034W	3OACE200_rm	YCR034W	YCR034W:1
RXN-3OACE200_rm_FWD-YLR372W	3OACE200_rm	YLR372W	YLR372W:1
RXN-3OACE220_rm_FWD-YCR034W	3OACE220_rm	YCR034W	YCR034W:1
RXN-3OACE220_rm_FWD-YLR372W	3OACE220_rm	YLR372W	YLR372W:1
RXN-3OACE240_rm_FWD-YCR034W	3OACE240_rm	YCR034W	YCR034W:1
RXN-3OACE240_rm_FWD-YLR372W	3OACE240_rm	YLR372W	YLR372W:1
RXN-3OACE260_rm_FWD-YLR372W	3OACE260_rm	YLR372W	YLR372W:1
RXN-3OACR200_rm_FWD-YBR159W	3OACR200_rm	YBR159W	YBR159W:1
RXN-3OACR220_rm_FWD-YBR159W	3OACR220_rm	YBR159W	YBR159W:1
RXN-3OACR240_rm_FWD-YBR159W	3OACR240_rm	YBR159W	YBR159W:1
RXN-3OACR260_rm_FWD-YBR159W	3OACR260_rm	YBR159W	YBR159W:1
RXN-3OAR40_m_FWD-YKL055C	3OAR40_m	YKL055C	YKL055C:1
RXN-3OAR60_m_FWD-YKL055C	3OAR60_m	YKL055C	YKL055C:1
RXN-3OAR80_m_FWD-YKL055C	3OAR80_m	YKL055C	YKL055C:1
RXN-3OAS60_m_FWD-YER061CYKL192C	3OAS60_m	YER061CYKL192C	YER061C:1,YKL192C:1
RXN-3OAS80_m_FWD-YER061CYKL192C	3OAS80_m	YER061CYKL192C	YER061C:1,YKL192C:1
RXN-4ABTORx_c_FWD-YMR110C	4ABTORx_c	YMR110C	YMR110C:1
RXN-4ABTORy_c_FWD-YMR110C	4ABTORy_c	YMR110C	YMR110C:1
RXN-4ABTORy_c_REV-YMR110C	4ABTORy_c	YMR110C	YMR110C:1
RXN-4ABUTNt_c_m_FWD-SPONT	4ABUTNt_c_m	SPONT	zeroCost
RXN-4ABUTNt_c_m_REV-SPONT	4ABUTNt_c_m	SPONT	zeroCost
RXN-4ABUTt_c_m_FWD-SPONT	4ABUTt_c_m	SPONT	zeroCost
RXN-4ABUTt_c_m_REV-SPONT	4ABUTt_c_m	SPONT	zeroCost
RXN-4ABUTtps_e_FWD-YDL210W	4ABUTtps_e	YDL210W	YDL210W:1
RXN-4ABUTtps_e_FWD-YOR348C	4ABUTtps_e	YOR348C	YOR348C:1
RXN-4ABZt_c_e_FWD-SPONT	4ABZt_c_e	SPONT	zeroCost
RXN-4ABZt_c_e_REV-SPONT	4ABZt_c_e	SPONT	zeroCost
RXN-4ABZt_c_m_FWD-SPONT	4ABZt_c_m	SPONT	zeroCost
RXN-4ABZt_c_m_REV-SPONT	4ABZt_c_m	SPONT	zeroCost
RXN-4DPMIPPH_c_FWD-YLR410W	4DPMIPPH_c	YLR410W	YLR410W:1
RXN-4DPMIPPH_c_FWD-YOR163W	4DPMIPPH_c	YOR163W	YOR163W:1
RXN-4DPMIPPH_c_REV-YLR410W	4DPMIPPH_c	YLR410W	YLR410W:1
RXN-4DPMIPPH_c_REV-YOR163W	4DPMIPPH_c	YOR163W	YOR163W:1
RXN-4H2OGLTt_c_m_FWD-SPONT	4H2OGLTt_c_m	SPONT	zeroCost
RXN-4H2OGLTt_c_m_REV-SPONT	4H2OGLTt_c_m	SPONT	zeroCost
RXN-4H2OGLTt_c_x_FWD-SPONT	4H2OGLTt_c_x	SPONT	zeroCost
RXN-4H2OGLTt_c_x_REV-SPONT	4H2OGLTt_c_x	SPONT	zeroCost
RXN-4HBZF_m_FWD-SPONT	4HBZF_m		zeroCost
RXN-4HBZt_c_m_FWD-SPONT	4HBZt_c_m	SPONT	zeroCost
RXN-4HBZt_c_m_REV-SPONT	4HBZt_c_m	SPONT	zeroCost
RXN-4HGLSD_m_FWD-YHR037W	4HGLSD_m	YHR037W	YHR037W:1
RXN-4HGLSD_m_REV-YHR037W	4HGLSD_m	YHR037W	YHR037W:1
RXN-4HTHRS_c_FWD-YCR053W	4HTHRS_c	YCR053W	YCR053W:1
