"j"	"v"	"v_enzload"	"+ slack"	"- slack"
"RXN-ADPT_c_FWD-YML022W"	 2.467310241633293E-05	 1.730967611468240E-01	 8.76E+03	 0.00E+00
"RXN-ADNK1_c_FWD-YJR105W"	 4.310616624133537E+03	 9.746310393275316E-01	 0.00E+00	 1.26E-09
"RXN-ADK1_m_FWD-YER170W"	 1.823387378863117E-07	 1.000000000000000E-09	 5.14E-07	 0.00E+00
"RXN-ADSL2i_c_FWD-YLR359W"	 5.302678557627138E+03	 1.742138862680181E-02	 0.00E+00	 4.50E+03
"RXN-ADSS_c_FWD-YNL220W"	 6.342543862339129E+03	 2.127869868053224E-01	 1.14E+03	 0.00E+00
"RXN-ADSK_c_FWD-YKL001C"	 5.226831135982211E+03	 2.793435217666130E-01	 0.00E+00	 1.76E+01
"RXN-ALATRS_c_FWD-YOR335C"	 1.453958508595607E+04	 3.189509323326268E-01	 2.61E+02	 0.00E+00
"RXN-ALDD22x_c_FWD-YMR170C"	 2.467310241652299E-05	 1.345914193808373E-02	 6.81E+02	 0.00E+00
"RXN-ARGN_c_FWD-YPL111W"	 2.990633578628132E+03	 7.451555396238586E-03	 0.00E+00	 1.92E+03
"RXN-ARGTRS_c_FWD-YDR341C"	 8.024714297919507E+03	 2.724970822599793E-01	 2.24E+03	 0.00E+00
"RXN-ASNTRS_c_FWD-YHR019C"	 8.664541903989270E+03	 4.879421480976219E-01	 0.00E+00	 4.10E+02
"RXN-ASPCT_c_FWD-YJL130C"	 4.599440215040027E+03	 5.644401394936186E-01	 3.19E+00	 0.00E+00
"RXN-ASPK_c_FWD-YER052C"	 2.535711192552909E+04	 1.524688920470714E-01	 0.00E+00	 7.05E+02
"RXN-ASAD_c_FWD-YDR158W"	 2.535711192552909E+04	 3.168517634979422E-01	 0.00E+00	 7.05E+02
"RXN-ASPTRS_c_FWD-YLL018C"	 1.045893455371117E+04	 1.429987805396077E-01	 0.00E+00	 3.39E+02
"RXN-ATPPRT_c_FWD-YER055C"	 3.580919124431935E+03	 3.779046685983243E-01	 0.00E+00	 1.41E+02
"RXN-C3STKR1_c_FWD-YLR100W"	 6.498526665496188E+02	 3.980025669113181E-02	 5.89E-09	 0.00E+00
"RXN-C4STMO1_c_FWD-YGR060W"	 6.498526665496188E+02	 1.000000000000000E-09	 0.00E+00	 6.50E+02
"RXN-C4STMO2_c_FWD-YGR060W"	 6.498526665496188E+02	 1.290910742981789E-02	 0.00E+00	 1.01E-04
"RXN-C4STMO3_c_FWD-YGR060W"	 6.498526665496188E+02	 1.000000000000000E-09	 0.00E+00	 6.50E+02
"RXN-C5STDS_c_FWD-YLR056W"	 4.188167631036328E+02	 4.894143561275298E-02	 0.00E+00	 5.87E-09
"RXN-C8STI_c_FWD-YMR202W"	 6.498526665496187E+02	 1.113099723068448E-01	 6.50E+02	 0.00E+00
"RXN-C24STR_r_FWD-YGL012W"	 4.188167631036328E+02	 1.274184788720984E-02	 3.14E-09	 0.00E+00
"RXN-CERH124B_r_FWD-YMR272C"	 4.823893356657645E+00	 1.000000000000000E-09	 0.00E+00	 4.82E+00
"RXN-CERH126B_r_FWD-YMR272C"	 4.823893356657645E+00	 1.000000000000000E-09	 0.00E+00	 4.82E+00
"RXN-CERH2A24_r_FWD-YMR272C"	 9.647786713315290E+00	 1.000000000000000E-09	 0.00E+00	 9.65E+00
"RXN-CERH2A26_r_FWD-YMR272C"	 9.647786713315290E+00	 4.068113467829364E-02	 0.00E+00	 1.19E-06
"RXN-CERH324_r_FWD-YMR272C"	 4.823893356657645E+00	 1.000000000000000E-09	 0.00E+00	 4.82E+00
