"j"	"v"	"v_enzload"	"+ slack"	"- slack"
"RXN-PAPSR_c_FWD-MET16TRX1"	 5.226831135982211E+03	 1.027999751869288E-01	 0.00E+00	 1.76E+01
"RXN-SERPT_r_FWD-LCB12"	 4.823893356657636E+01	 1.360714683884257E-02	 6.40E+02	 0.00E+00
"RXN-SO3R_c_FWD-MET510"	 5.226831135982211E+03	 1.915546506739546E-01	 0.00E+00	 1.76E+01
"RXN-TRDR_c_FWD-YDR353W"	 5.795828431233746E+03	 2.907393782443010E-01	 0.00E+00	 2.96E+02
"RXN-TRE6PP_c_FWD-TPS12TSL1"	 6.248619249573313E+02	 1.069376870979761E-02	 0.00E+00	 8.38E+01
"RXN-URIDK2i_c_FWD-YKL024C_c"	 1.071562533905055E-06	 1.000000000000000E-09	 0.00E+00	 1.68E-07
"RXN-VALTRS_c_FWD-YGR094W_c"	 1.317246016965971E+04	 2.585795798804590E-01	 0.00E+00	 2.80E+02
"RXN-lumpFACS180_c_FWD-FAS12"	 4.352725575324546E+02	 0.000000000000000E+00	 0.00E+00	 4.35E+02
"RXN-ACONTb_c_FWD-YLR304C_c"	 1.963674389408418E+04	 1.000000000000000E-09	 0.00E+00	 1.96E+04
"RXN-ATPASEVv_c_FWD-ATPASECPLXvm"	 6.350900882948126E+02	 2.497030299702230E-03	 0.00E+00	 5.09E+02
"RXN-FACOA160tabc_x_FWD-PXA12"	 5.765142629884506E+00	 0.000000000000000E+00	 0.00E+00	 5.77E+00
"RXN-SERt_c_r_FWD-YKR039W_rm"	 4.823893356657636E+01	 1.000000000000000E-09	 0.00E+00	 4.82E+01
"RXN-SERt_c_rm_FWD-YKR039W_rm"	 5.511136460512969E+02	 1.000000000000000E-09	 0.00E+00	 5.51E+02
"RXN-AGNPR_rm_FWD-YIL124W_r"	 4.437417936243278E+02	 3.994838048940459E-02	 1.58E+03	 0.00E+00
"RXN-PI4PP_gm_FWD-YKL212W_gm"	 1.822948582895421E+01	 1.332264112115716E-01	 6.72E+03	 0.00E+00
"RXN-PI4P5K_n_FWD-YDR208W_n"	 4.990331383512034E+02	 3.098479016236460E-03	 0.00E+00	 3.42E+02
"RXN-IPCS_g_FWD-KEI1AUR1"	 4.823893356657644E+01	 2.151393069197257E-03	 4.42E-09	 0.00E+00
"RXN-AKGDH_m_FWD-KGDCPLX"	 1.414527690741797E+01	 4.409275495894655E-02	 1.41E+04	 0.00E+00
"RXN-PYDX5PS_c_FWD-SNZ3SNO1"	 1.745196801632157E+00	 3.952319219340073E-03	 1.98E+02	 0.00E+00
"RXN-LDHDf_c_FWD-YEL071W"	 1.000000000253076E-02	 7.652185732788405E-01	 3.87E+04	 0.00E+00
"RXN-RLFC2O_c_FWD-YDL174C"	 1.000000000277200E-02	 1.294857739539090E-01	 6.55E+03	 0.00E+00
"RXN-LLFC2O_c_FWD-YML054C"	 7.325246674391798E+03	 7.231735175122524E-03	 0.00E+00	 6.96E+03
