index	prosynSlack(% higher/lower than measured value)
YDL061C	 2.419841898411821E+01
YGR148C	 9.794196153467352E+01
YDL229W	-4.000000000000000E+01
YGR034W	 4.560745554171204E+01
YLR406C	 5.139978074942324E+01
YLR048W	 5.598966010715998E+01
YHL001W	 1.421548489632535E+02
YDR500C	 4.195891626425488E+03
YBL030C	-4.000000000000000E+01
YBL099W	-4.000000000000000E+01
YCR012W	-4.000000000000000E+01
YDL131W	 1.834701420701822E+01
YER069W	-3.846577837002367E+01
YER091C	-4.000000000000000E+01
YHR174W	-4.000000000000000E+01
YIL094C	-4.000000000000000E+01
YJR009C	-4.000000000000000E+01
YJR016C	-4.000000000000000E+01
YJR077C	-4.000000000000000E+01
YJR121W	-4.000000000000000E+01
YKL060C	-3.999790557818869E+01
YLR044C	-4.000000000000000E+01
YLR355C	-4.000000000000000E+01
YMR108W	-4.000000000000000E+01
YOR369C	 8.551211533444135E+00
YOL040C	 1.427891058896709E+02
YGL123W	 1.088765702591881E+02
YLR167W	 2.622929133567156E+02
YLR075W	 4.114729590383245E+01
YLR029C	 6.476460757034930E+01
YBR191W	 3.382134188985128E+01
YLR061W	 6.180312415894709E+01
YGL103W	 7.489424494470542E-01
YOR063W	 5.676089799348776E+01
YBL092W	 3.699116554150715E+02
YJL189W	 6.559083341875843E+02
YBR031W	 4.005165760874279E+01
YPL131W	 5.212634862239105E+01
YDL081C	 1.295967855924168E+02
YDL130W	 4.104661563234732E+02
YCR003W	 2.707224612562887E+01
