ENZSYN-YAL060W	 4.974425861129761E-07
ENZSYN-GSC2RHO1	 3.5626335331224644E-07
ENZSYN-GSC1RHO1	 4.624330533673043E-07
ENZSYN-YPR159W	 4.193559789142451E-07
ENZSYN-YGR143W	 6.761097594983477E-08
ENZSYN-YIL020C	 2.331779209844036E-07
ENZSYN-YHR037W	 1.0114436588544694E-06
ENZSYN-YOL066C	 8.179871846934622E-08
ENZSYN-YBR153W	 2.850623190738283E-09
ENZSYN-YNL256W	 1.2897801289934887E-07
ENZSYN-YJL060W	 1.0205818758046856E-06
ENZSYN-YER152C	 8.978822892583621E-08
ENZSYN-YGL202W	 1.6622810520703616E-06
ENZSYN-YHR063C	 1.3059949834754002E-06
ENZSYN-YGL009C	 4.547425614385814E-06
ENZSYN-YOR108W	 1.368627755272156E-07
ENZSYN-YHR208W	 2.1452546294756273E-06
ENZSYN-YJR148W	 6.761214133095727E-08
ENZSYN-YHR137W	 1.4330921356273025E-09
ENZSYN-YDR234W	 2.7291826245947943E-06
ENZSYN-YPR001W	 1.8799362948147838E-08
ENZSYN-YOL064C	 1.5447552287729375E-06
ENZSYN-YOR360C	 5.387379618780045E-08
ENZSYN-YGL248W	 2.5114968290036442E-08
ENZSYN-YDR487C	 5.569763257886178E-07
ENZSYN-YDR127W	 9.736647996382857E-07
ENZSYN-YBR265W	 2.729033666564084E-07
ENZSYN-YDR035W	 1.4773886140580798E-06
ENZSYN-YBR249C	 3.2292077190627343E-06
ENZSYN-YDR376W	 1.163088783837852E-07
ENZSYN-YLR231C	 1.2404271234181904E-07
ENZSYN-YKR009C	 2.998485782389861E-08
ENZSYN-YJR025C	 1.0597732607544823E-06
ENZSYN-YER175C	 1.7747312477373965E-07
ENZSYN-YCL018W	 2.940282106824640E-06
ENZSYN-YGR087C	 6.112117434702564E-08
ENZSYN-YLR044C	 1.675823744294623E-05
ENZSYN-YLR134W	 2.588972141729621E-06
ENZSYN-YBR176W	 1.6105796442652629E-07
