EX_pnto__R_e,-1.3333333333574745e-06
EX_nh4_e,-0.013084723150434904
EX_hco3_e,0.023079610263983495
EX_co2_e,1.3349101906899465
EX_chol_e,-0.0003893866666666658
EX_fol_e,-1.3333333337253185e-06
EX_glyc_e,1.0563851257605268
EX_gly_e,-0.000746915086981108
EX_fe2_e,-1.017333333333331e-05
EX_ala__L_e,-0.00117882918788667
EX_arg__L_e,-0.012924812416946
EX_asp__L_e,-0.000459654553375469
EX_glu__L_e,-0.00101262301740644
EX_lys__L_e,-0.000215539848205249
EX_met__L_e,-0.000131975945610486
EX_phe__L_e,-0.000228487113278694
EX_pro__L_e,-0.000760192980392569
EX_ser__L_e,-0.000333121015856181
EX_thr__L_e,-0.000275526731556139
EX_val__L_e,-0.000462275186351073
EX_nac_e,-2.6666666665168678e-06
EX_o2_e,-0.7671093755046756
EX_pi_e,-0.0067189866666637335
EX_g3pc_e,-9.059558247353823e-20
EX_sucr_e,-0.415604294281675
EX_so4_e,-0.0008386640543895365
EX_thm_e,-1.3333333333333302e-06
EX_k_e,-0.00803367999999998
EX_ca2_e,-1.7119999999999958e-05
EX_cu2_e,-1.5199999999999965e-06
EX_mg2_e,-0.0008465199999999981
EX_mn2_e,-1.2533333333333304e-06
EX_zn2_e,-2.0973333333333284e-05
EX_btn_c,-1.3333333333333302e-06
EX_stalc_e,0.001125130595515551
growth,0.0133333333333333
