Rxn,13ppd,2phetoh,3hppa,3hppb,4hbz,arte,btd,btoh,citm,cou,hdca,hxdcol,ibutoh,lac__L,muco,nrgn,odealc,pmtalc,polyhb,retcln,rsvtol,sesqt,skm,stalc,styr,tag
13GS_c,,,,,,,,,,,,,,,,,0.020800775485594,0.019061770648047,,,,,,0.020894802447965,,0.032208209848426
13PPD1,17.170569060583098,,,,,,,,,,,,,,,,,,,,,,,,,
13PPD2,17.170569060583098,,,,,,,,,,,,,,,,,,,,,,,,,
13PPD3,17.170569060583098,,,,,,,,,,,,,,,,,,,,,,,,,
16GS_c,,,,,,,,,,,,,,,,,0.005473902493205,0.005016268453429,,,,,,0.005498646494894,,0.008475866696079
2MBTOHt_c_e,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2OBUTt_c_m,0.031873459002803,0.028368805359499,0.071007120804778,0.036824634197332,0.045904697449064,0.04604166836273,0.053788100650867,9.840620928655472,0.048488173375664,0.033980824745711,0.118853147447812,0.116272358342188,0.021877575252255,0.014444225036,0.030181220656913,0.057500591727177,0.000386799262004,0.000796529759817,0.053286376530661,0.155222023671039,0.05750078480951,0.051644623825576,0.031349478200354,0.000366212816692,0.033626379970461,0.006496346505396
2OXOADPt_c_m,0.035724622578449,0.032168363762917,0.075723537771106,0.041270026019521,0.05217092370856,0.054667601969166,0.057686729977292,0.035900969169537,0.054162666562868,0.038474085322971,0.131645480362369,0.128806641015848,0.02606421511892,0.01581513547285,0.034333478069896,0.062740265979185,0.000445097852109,0.000903420144778,0.060423659869045,0.179459549929564,0.06274026574493,0.060796615269253,0.035526631363036,0.000417595951188,0.038019094767883,0.007105618856517
2PHETOH2,,6.889472249125854,,,,,,,,,,,,,,,,,,,,,,,,
2PHETOH3,,6.889472249125854,,,,,,,,,,,,,,,,,,,,,,,,
2PHETOHt_c_e,,-6.889472249125854,,,,,,,,,,,,,,,,,,,,,,,,
3C3HMPt_c_m,-0.045971318465928,-0.042537799966281,-0.104049966095746,-0.057973370181632,-0.070487899136357,-0.072233835783147,-0.090895172266483,-0.048343068542967,-0.371776632901347,-0.051559601893905,-0.166493526200564,-0.162431519305894,,-0.021746464944833,-0.047257878448222,-0.086722145358195,-0.000182738325755,-0.000740691459618,-0.394005854384334,-0.219345324114029,-0.086722144874791,-0.080797174387412,-0.048317726219678,-0.000159349051202,-0.050819627786188,-0.009060069254371
3DSPHR_r,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD200_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD220_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD240_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD260_rm,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,8.762749058e-06,8.762749058e-06,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,8.762749058e-06,6.5720617938e-05,2.0168041422e-05
3HPPA1,,,18.724954569743467,,,,,,,,,,,,,,,,,,,,,,,
3HPPA2,,,18.724954569743467,,,,,,,,,,,,,,,,,,,,,,,
3HPPA3,,,18.724954569743467,,,,,,,,,,,,,,,,,,,,,,,
3HPPB1,,,,21.472905366217,,,,,,,,,,,,,,,,,,,,,,
3HPPB2,,,,21.472905366217,,,,,,,,,,,,,,,,,,,,,,
3HPPB3,,,,21.472905366217,,,,,,,,,,,,,,,,,,,,,,
3HPPB4,,,,21.472905366217,,,,,,,,,,,,,,,,,,,,,,
3MOBDC_c,,,,,,,,,,,,,12.651839449990174,,,,,,,,,,,,,
3MOPt_c_m,-0.031873459002803,-0.028368805359499,-0.071007120804778,-0.036824634197332,-0.045904697449064,-0.04604166836273,-0.053788100650867,-0.013947439699536,-0.048488173375664,-0.033980824745711,-0.118853147447812,-0.116272358342188,,-0.014444225036,-0.030181220656913,-0.057500591727177,-0.000386799262004,-0.000796529759817,-0.053286376530661,-0.155222023671039,-0.05750078480951,-0.051644623825576,-0.031349478200354,-0.000366212816692,-0.033626379970461,-0.006496346505396
