Rxn,3hppa,3hppb,4hbz,btd,btoh,citm,cou,hdca,hxdcol,ibutoh,muco,nrgn,retcln,rsvtol,sesqt,tag
13GS_c,0.211988050827592,,0.19747705785289,0.217706169991379,0.01989332285908,0.203465611563928,0.200952904541505,0.201947875492112,0.200863122555188,0.094184604659582,0.195441364748324,0.20132193030171,0.172530220377719,0.201321930297874,0.205202391072013,0.067242422384446
16GS_c,0.055786473959031,,0.051967781685846,0.057291246065666,0.005235098550622,0.053543720963314,0.052882480556952,0.053144315697232,0.052858853657124,0.024785486609605,0.051432071583682,0.052979592851167,0.045402807416138,0.052979592850157,0.054000769388554,0.017695420240186
2OBUTt_c_m,0.04015737646226,0.497586175803072,0.079836344313746,0.016900175169663,1.811590859904353,0.076346911604489,0.068806065977171,0.030122759245304,0.033077152069735,0.105231695030977,0.086486152916853,0.078751375622737,0.054188783704394,0.078751375638123,0.073757421160676,0.000836464698207
2OXOADPt_c_m,0.012395730866182,0.060664897348138,0.03497985060003,0.00542554780226,0.054072854427892,0.022987504087117,0.030001306782289,0.02277470440556,0.024181726948083,0.110580768881733,0.037867032487809,0.026773121186404,0.054082483521308,0.026773121191468,0.022111377822593,0.000906675615049
3C3HMPt_c_m,-0.015168810036733,-0.086468757511043,-0.040613973216667,-0.006565608734859,-0.075479945052482,-0.03199125957497,-0.034866648300314,-0.027502550790957,-0.02914855772024,-0.146311123377685,-0.044042792942361,-0.035067509451406,-0.06735348644695,-0.035067509457215,-0.028147904747161,-0.001076806714188
3DH5HPBt_c_m,,,,,,,,,,,,,,,-0.0,
3DSPHR_r,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
3HACD200_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
3HACD220_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
3HACD240_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
3HACD260_rm,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,2.0168041422e-05
3MOBDC_c,,,,,,,,,,1.203868573868331,,,,,,
3MOPt_c_e,-0.027875171785933,-0.437946339245885,-0.051295139387487,-0.011715220793563,-0.114175002279664,,-0.044189125758848,-0.00861825196233,-0.010272500947879,,-0.055722141715166,,,,,
3MOPt_c_m,-0.04015737646226,-0.497586175803072,-0.079836344313746,-0.016900175169663,-0.168465455575665,-0.076346911604489,-0.068806065977171,-0.030122759245304,-0.033077152069735,-0.105231695030977,-0.086486152916853,-0.078751375622737,-0.054188783704394,-0.078751375638123,-0.073757421160676,-0.000836464698207
3OACE200_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
3OACE220_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
3OACE240_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
3OACE260_rm,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,2.0168041422e-05
3OACR200_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
3OACR220_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
