index	prosynSlack(% higher/lower than measured value)
YGR214W	 4.097011264007312E+04
YOR369C	 9.905134293921709E+00
YOL040C	 1.419839364283684E+02
YOL121C	 2.241991747042290E+01
YGL123W	 1.086168525293192E+02
YGR027C	 6.792046843552980E+01
YKL156W	 1.087338855788672E+04
YLR287C-A	 1.041148010432437E+02
YLR167W	 2.595656358169707E+02
YPL090C	 1.631689346782704E+01
YLR075W	 4.197694083231548E+01
YKL006W	 1.168122936449341E+03
YLR029C	 6.597915018843365E+01
YOL120C	 4.000746270438039E+01
YBR084C-A	 9.560269452756039E+01
YGL031C	 2.031966474632719E+03
YOR063W	 5.733941259109500E+01
YBL092W	 3.654534300680005E+02
YJL189W	 6.468501171052880E+02
YIL148W	 7.324548814298389E+01
YPR043W	 1.874204036729010E+02
YBR031W	 4.126319447331701E+01
YPL131W	 5.277940565487920E+01
YDL081C	 1.290038023865500E+02
YDL130W	 4.053556493841631E+02
YEL050C	 2.335599599910956E+01
YGR220C	 1.790808352066394E+02
YDR237W	 3.198765937820572E+01
YNR022C	 1.196141279473134E+02
YNL284C	 6.186823760991533E+01
YBL038W	 2.595775444912942E+02
YDR405W	 1.853126150236470E+01
YPL173W	 4.182088759541310E+01
YNL005C	 4.197505576462145E+01
YBR122C	 4.793276507090131E+01
YCR003W	 2.866849395323333E+03
YML009C	 1.708361442866359E+02
YPL183W-A	 1.356910066933643E+03
YPR100W	 1.165816903809680E+02
YBR268W	 5.977457434872383E+02
YKL138C	 9.963865209066721E+01
YDR296W	 5.424848630991506E+01
YPL118W	 1.295282138924046E+01
YBR251W	 1.303459103157593E+01
YKL003C	 4.946555954358080E+02
YBR146W	 1.069173052210907E+01
YPR166C	 2.223373484779517E+02
YDR337W	 2.999372289444275E+01
YER050C	 1.336901534145711E+02
YBL090W	 3.028446826922605E+01
YGR215W	 4.203471809302814E+00
YDL045W-A	 4.394465380942077E+02
YHR059W	 2.520724689030879E+01
YDR494W	 6.837898985600489E+00
YDR036C	 2.220489304218940E+01
YIL052C	 5.979439449295321E+02
YGR085C	 3.553902701553049E+01
YPL079W	 2.741827293740303E+02
YLR406C	 5.238523395382543E+01
