Rxn,13ppd,2phetoh,3hppa,3hppb,4hbz,arte,btd,btoh,citm,cou,hdca,hxdcol,ibutoh,lac__L,muco,nrgn,odealc,pmtalc,polyhb,retcln,rsvtol,sesqt,skm,stalc,styr,tag
13GS_c,,,,,,,,,,,,,,,,,0.010046239679502,0.01004730026548,,,,,,0.010042135265573,,0.043072301869334
13PPD1,10.335949104607826,,,,,,,,,,,,,,,,,,,,,,,,,
13PPD2,10.335949104607826,,,,,,,,,,,,,,,,,,,,,,,,,
13PPD3,10.335949104607826,,,,,,,,,,,,,,,,,,,,,,,,,
16GS_c,,,,,,,,,,,,,,,,,0.002643754145947,0.002644033248245,,,,,,0.002642674034215,,0.011334845701012
2OBUTt_c_m,0.060405580747311,0.065105537482285,0.072789497423574,0.06528186713669,0.064234470121446,0.079722770401196,0.051676877508731,1.97056651324067,0.065322679164196,0.067503050675673,0.087125126675046,0.088428088185546,0.052547859211915,0.061498237622938,0.063220462353469,0.067503458920557,0.003409362516529,0.003424665386574,0.073061868757789,0.1313849121658,0.067575875736655,0.078143263932291,0.065850298903882,0.003392980923522,0.068778559436857,0.008336468637145
2OXOADPt_c_m,0.071473709703102,0.077946419887817,0.084532745210328,0.075587536602864,0.076739195085455,0.092634518277478,0.057402090428065,0.065547740826748,0.075542003879434,0.079471378325387,0.10062080166104,0.102248354118581,0.060734934974616,0.07181515809024,0.075259669523788,0.078393222945959,0.003976158125366,0.003999270103174,0.085018553105583,0.148936342304972,0.078390412965262,0.090299015185955,0.078704547682896,0.003962519801756,0.081263731153588,0.009663682527014
2PHETOH2,,3.766823882528126,,,,,,,,,,,,,,,,,,,,,,,,
2PHETOH3,,3.766823882528126,,,,,,,,,,,,,,,,,,,,,,,,
2PHETOHt_c_e,,-3.766823882528126,,,,,,,,,,,,,,,,,,,,,,,,
3C3HMPt_c_m,-0.092243360299893,-0.098425885768904,-0.107607540310741,-0.099946796957504,-0.097464515979003,-0.122798022913666,-0.117801073819887,-0.096304204643236,-0.098364840590401,-0.101095010419054,-0.12664045566948,-0.128394866710208,-0.07693564487819,-0.094189749168096,-0.096376824987546,-0.100552521295334,-0.004787908419687,-0.004818645469866,-0.106688836201068,-0.182187892733947,-0.100472558319447,-0.120729170550683,-0.099846827583254,-0.004776158080608,-0.102827766716005,-0.012404107616811
3DSPHR_r,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD200_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD220_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD240_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD260_rm,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,8.762749058e-06,8.762749058e-06,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,8.762749058e-06,6.5720617938e-05,2.0168041422e-05
3HPPA1,,,4.791077807930754,,,,,,,,,,,,,,,,,,,,,,,
3HPPA2,,,4.791077807930754,,,,,,,,,,,,,,,,,,,,,,,
3HPPA3,,,4.791077807930754,,,,,,,,,,,,,,,,,,,,,,,
3HPPB1,,,,8.275594561880407,,,,,,,,,,,,,,,,,,,,,,
3HPPB2,,,,8.275594561880407,,,,,,,,,,,,,,,,,,,,,,
3HPPB3,,,,8.275594561880407,,,,,,,,,,,,,,,,,,,,,,
3HPPB4,,,,8.275594561880407,,,,,,,,,,,,,,,,,,,,,,
3MOBDC_c,,,,,,,,,,,,,12.36449516216495,,,,,,,,,,,,,
3MOPt_c_m,-0.060405580747311,-0.065105537482285,-0.072789497423574,-0.06528186713669,-0.064234470121446,-0.079722770401196,-0.051676877508731,-0.061540810704751,-0.065322679164196,-0.067503050675673,-0.087125126675046,-0.088428088185546,,-0.061498237622938,-0.063220462353469,-0.067503458920557,-0.003409362516529,-0.003424665386574,-0.073061868757789,-0.1313849121658,-0.067575875736655,-0.078143263932291,-0.065850298903882,-0.003392980923522,-0.068778559436857,-0.008336468637145
3OACE200_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3OACE220_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
