rxn	upper-bound
PROSYN-rt3257_e	0.00000000
PROSYN-rt3261	0.00000000
PROSYN-rt3274	0.00000000
PROSYN-rt3278	0.00000000
PROSYN-rt3279	0.00000000
PROSYN-rt3281_e	0.00000000
PROSYN-rt3281_v	0.00000000
PROSYN-rt3282	0.00000000
PROSYN-rt3293	0.00000000
PROSYN-rt3300	0.00000000
PROSYN-rt3311	0.00000000
PROSYN-rt3313	0.00000000
PROSYN-rt3314	0.00000000
PROSYN-rt3318	0.00000000
PROSYN-rt3333	0.00000000
PROSYN-rt3334	0.00000000
PROSYN-rt3348	0.00000000
PROSYN-rt3355	0.00000000
PROSYN-rt3356	0.00000000
PROSYN-rt3373	0.00000000
PROSYN-rt3377	0.00000000
PROSYN-rt3378	0.00000000
PROSYN-rt3384	0.00000000
PROSYN-rt3387	0.00000000
PROSYN-rt3388	0.00000000
PROSYN-rt3401	0.00000000
PROSYN-rt3408	0.00000000
PROSYN-rt3417	0.00000000
PROSYN-rt3419	0.00000000
PROSYN-rt3422	0.00000000
PROSYN-rt3425	0.00000000
PROSYN-rt3431	0.00000000
PROSYN-rt3434	0.00000000
PROSYN-rt3441	0.00000000
PROSYN-rt3458	0.00000000
PROSYN-rt3465_c	0.00000000
PROSYN-rt3465_x	0.00000000
PROSYN-rt3469	0.00000000
PROSYN-rt3472	0.00000000
PROSYN-rt3476	0.00000000
PROSYN-rt3492	0.00000000
PROSYN-rt3499	0.00000000
PROSYN-rt3505	0.00000000
PROSYN-rt3507	0.00000000
PROSYN-rt3508	0.00000000
PROSYN-rt3509	0.00000000
PROSYN-rt3510_en	0.00000000
PROSYN-rt3510_n	0.00000000
PROSYN-rt3514	0.00000000
PROSYN-rt3516	0.00000000
PROSYN-rt3525	0.00000000
PROSYN-rt3531	0.00000000
PROSYN-rt3539	0.00000000
PROSYN-rt3541	0.00000000
PROSYN-rt3542	0.00000000
PROSYN-rt3556	0.00000000
PROSYN-rt3557	0.00000000
PROSYN-rt3577	0.00000000
PROSYN-rt3584	0.00000000
PROSYN-rt3590	0.00000000
PROSYN-rt3591	0.00000000
PROSYN-rt3594	0.00000000
PROSYN-rt3595	0.00000000
PROSYN-rt3599	0.00000000
PROSYN-rt3605	0.00000000
PROSYN-rt3609	0.00000000
PROSYN-rt3614	0.00000000
PROSYN-rt3621	0.00000000
PROSYN-rt3625	0.00000000
PROSYN-rt3639	0.00000000
PROSYN-rt3654	0.00000000
PROSYN-rt3663	0.00000000
PROSYN-rt3664	0.00000000
PROSYN-rt3666	0.00000000
PROSYN-rt3670	0.00000000
PROSYN-rt3674_c	0.00000000
PROSYN-rt3674_m	0.00000000
PROSYN-rt3682	0.00000000
PROSYN-rt3683	0.00000000
PROSYN-rt3712	0.00000000
PROSYN-rt3730	0.00000000
PROSYN-rt3731	0.00000000
PROSYN-rt3748	0.00000000
PROSYN-rt3750	0.00000000
PROSYN-rt3753	0.00000000
PROSYN-rt3754_c	0.00000000
PROSYN-rt3754_m	0.00000000
PROSYN-rt3755	0.00000000
PROSYN-rt3764	0.00000000
PROSYN-rt3783	0.00000000
PROSYN-rt3786_c	0.00000000
PROSYN-rt3786_x	0.00000000
PROSYN-rt3787_c	0.00000000
PROSYN-rt3787_m	0.00000000
PROSYN-rt3790	0.00000000
PROSYN-rt3791_c	0.00000000
PROSYN-rt3791_m	0.00000000
PROSYN-rt3794	0.00000000
PROSYN-rt3802	0.00000000
PROSYN-rt3852	0.00000000
PROSYN-rt3853	0.00000000
PROSYN-rt3874	0.00000000
PROSYN-rt3875	0.00000000
PROSYN-rt3880	0.00000000
PROSYN-rt3897	0.00000000
PROSYN-rt3901	0.00000000
PROSYN-rt3915	0.00000000
PROSYN-rt3923	0.00000000
PROSYN-rt3932	0.00000000
PROSYN-rt3934	0.00000000
PROSYN-rt3937	0.00000000
PROSYN-rt3938	0.00000000
PROSYN-rt3939_c	0.00000000
PROSYN-rt3939_m	0.00000000
PROSYN-rt3985	0.00000000
PROSYN-rt3986	0.00000000
PROSYN-rt4016	0.00000000
PROSYN-rt4017	0.00000000
PROSYN-rt4019	0.00000000
PROSYN-rt4023	0.00000000
PROSYN-rt4039	0.00000000
PROSYN-rt4042	0.00000000
PROSYN-rt4053	0.00000000
PROSYN-rt4066	0.00000000
PROSYN-rt4068	0.00000000
PROSYN-rt4069	0.00000000
PROSYN-rt4077	0.00000000
PROSYN-rt4099	0.00000000
PROSYN-rt4102	0.00000000
PROSYN-rt4107	0.00000000
PROSYN-rt4108	0.00000000
PROSYN-rt4112	0.00000000
PROSYN-rt4117	0.00000000
PROSYN-rt4127	0.00000000
PROSYN-rt4138	0.00000000
PROSYN-rt4145	0.00000000
PROSYN-rt4150	0.00000000
PROSYN-rt4171	0.00000000
PROSYN-rt4177	0.00000000
PROSYN-rt4178	0.00000000
PROSYN-rt4183	0.00000000
PROSYN-rt4186	0.00000000
PROSYN-rt4187	0.00000000
PROSYN-rt4194	0.00000000
PROSYN-rt4198	0.00000000
PROSYN-rt4202	0.00000000
PROSYN-rt4213	0.00000000
PROSYN-rt4220	0.00000000
PROSYN-rt4228	0.00000000
PROSYN-rt4237	0.00000000
PROSYN-rt4254	0.00000000
PROSYN-rt4257	0.00000000
PROSYN-rt4267	0.00000000
PROSYN-rt4269	0.00000000
PROSYN-rt4271	0.00000000
PROSYN-rt4274	0.00000000
PROSYN-rt4278	0.00000000
PROSYN-rt4281	0.00000000
PROSYN-rt4284	0.00000000
PROSYN-rt4312	0.00000000
PROSYN-rt4334	0.00000000
PROSYN-rt4336	0.00000000
PROSYN-rt4363	0.00000000
PROSYN-rt4368	0.00000000
PROSYN-rt4374	0.00000000
PROSYN-rt4375	0.00000000
PROSYN-rt4380	0.00000000
PROSYN-rt4384	0.00000000
PROSYN-rt4385	0.00000000
PROSYN-rt4390	0.00000000
PROSYN-rt4393	0.00000000
PROSYN-rt4410	0.00000000
PROSYN-rt4413	0.00000000
PROSYN-rt4416	0.00000000
PROSYN-rt4419	0.00000000
PROSYN-rt4427	0.00000000
PROSYN-rt4445	0.00000000
PROSYN-rt4453	0.00000000
PROSYN-rt4454	0.00000000
PROSYN-rt4475	0.00000000
PROSYN-rt4487_c	0.00000000
PROSYN-rt4487_n	0.00000000
PROSYN-rt4499	0.00000000
PROSYN-rt4502	0.00000000
PROSYN-rt4513_mm	0.00000000
PROSYN-rt4513_rm	0.00000000
PROSYN-rt4526	0.00000000
PROSYN-rt4530	0.00000000
PROSYN-rt4534	0.00000000
PROSYN-rt4541	0.00000000
PROSYN-rt4544	0.00000000
PROSYN-rt4548	0.00000000
PROSYN-rt4555	0.00000000
PROSYN-rt4558	0.00000000
PROSYN-rt4559	0.00000000
PROSYN-rt4576	0.00000000
PROSYN-rt4593	0.00000000
PROSYN-rt4597	0.00000000
PROSYN-rt4598	0.00000000
PROSYN-rt4606	0.00000000
PROSYN-rt4609	0.00000000
PROSYN-rt4634	0.00000000
PROSYN-rt4639	0.00000000
PROSYN-rt4649	0.00000000
PROSYN-rt4673	0.00000000
PROSYN-rt4674	0.00000000
PROSYN-rt4676	0.00000000
PROSYN-rt4680	0.00000000
PROSYN-rt4692	0.00000000
PROSYN-rt4701	0.00000000
PROSYN-rt4714	0.00000000
PROSYN-rt4719	0.00000000
