"EX_ca2_e"	 0.000000000000000E+00	 2.263981407641485E-02
"EX_co2_e"	 7.469069415870875E+05	 0.000000000000000E+00
"EX_cu2_e"	 5.043864218605781E-03	 0.000000000000000E+00
"EX_etoh_e"	 6.435373102003832E+03	 0.000000000000000E+00
"EX_fe2_e"	 2.267886952346448E-02	 0.000000000000000E+00
"EX_glc__D_e"	 5.470865487331721E+02	 0.000000000000000E+00
"EX_glyc_e"	 2.029839075691891E+03	 0.000000000000000E+00
"EX_h2o_e"	-6.069161347154119E+05	 6.069092384450131E+05
"EX_h_e"	 0.000000000000000E+00	 3.866017542023316E+05
"EX_k_e"	 0.000000000000000E+00	 1.217434843303002E+05
"EX_mg2_e"	 0.000000000000000E+00	 6.730240333001234E-01
"EX_mn2_e"	 2.664356997810906E-02	 0.000000000000000E+00
"EX_nh4_e"	 2.135601768950930E+04	 0.000000000000000E+00
"EX_o2_e"	 1.531406114866704E+02	 0.000000000000000E+00
"EX_pi_e"	 0.000000000000000E+00	 3.343123266405344E+04
"EX_zn2_e"	 2.659480898149409E-01	 0.000000000000000E+00
"FBA3_c"	 0.000000000000000E+00	 4.308128356933603E-06
"FBA_c"	 1.156238592051886E+03	 0.000000000000000E+00
"FBP_c"	 9.999999999999999E-05	 0.000000000000000E+00
"FDH_c"	 2.642860251047362E+03	 0.000000000000000E+00
"FE2t_c_e"	 0.000000000000000E+00	 2.254606952346450E-02
"FECOOR_m"	 1.051183598949096E+04	 0.000000000000000E+00
"FECRq6_m"	 1.051183598949096E+04	 0.000000000000000E+00
"FORt_c_m"	 0.000000000000000E+00	 2.790641786555428E+05
"FRD_c"	 2.697704491322047E+05	 0.000000000000000E+00
"FTHFL_c"	 0.000000000000000E+00	 2.817883285389237E+05
"FTHFL_m"	 2.790641786598510E+05	 0.000000000000000E+00
"FUM_c"	 0.000000000000000E+00	 2.574671969020407E+05
"FUM_m"	 2.697274959031433E+05	 0.000000000000000E+00
"G3PT_c"	 0.000000000000000E+00	 1.303471002755017E+06
"G5SADr_c"	 2.218757000629417E+01	 0.000000000000000E+00
"G6PDH2i_c"	 6.832834096189373E+02	 0.000000000000000E+00
"GALUi_c"	 0.000000000000000E+00	 4.495439281891089E+01
"GARFT_c"	 1.114217978028221E+04	 0.000000000000000E+00
"GF6PTA_c"	 0.000000000000000E+00	 6.003678289993983E-01
"GHMT2r_c"	 1.934381623057992E+05	 0.000000000000000E+00
"GHMT2r_m"	 0.000000000000000E+00	 9.782916453749053E+04
"GLCt_c_e"	 0.000000000000000E+00	 5.468865487331714E+02
"GLUDC_c"	 9.999999999999999E-05	 0.000000000000000E+00
"GLUDxi_c"	 9.999999999999999E-05	 0.000000000000000E+00
"GLUDy_c"	 0.000000000000000E+00	 3.787894756388778E+05
"GLUPRT_c"	 1.114217978028221E+04	 0.000000000000000E+00
"GLUSx_c"	 0.000000000000000E+00	 6.250752666897393E+04
"GLUt_c_m"	 0.000000000000000E+00	 7.355030260918134E+04
"GLYC3Pt_c_m"	 1.305523104246032E+06	 0.000000000000000E+00
"GLYCL_m"	 0.000000000000000E+00	 1.808788945823089E+05
"GLYGS_c"	 0.000000000000000E+00	 1.224873145889943E+01
"GLYOX_c"	 0.000000000000000E+00	 3.881986334273878E+06
"GLYt_c_m"	 0.000000000000000E+00	 8.253182132531093E+04
"GMPS2_c"	 1.290945160250266E+01	 0.000000000000000E+00
"GND_c"	 6.832834096189373E+02	 0.000000000000000E+00
"GRTT_c"	 1.761739826023478E+01	 0.000000000000000E+00
"H2Ot_c_e"	 6.368730946798817E+05	 0.000000000000000E+00
"H2Ot_c_m"	 1.999741186789474E+05	 0.000000000000000E+00
"HACNH_m"	 0.000000000000000E+00	 7.153871560244757E+03
"HCITR_m"	 0.000000000000000E+00	 7.153871560244757E+03
"HCITS_m"	 1.210403112402345E+02	 0.000000000000000E+00
"HCYSMT_c"	 7.847818537823559E-05	 0.000000000000000E+00
"HEX1_c"	 0.000000000000000E+00	 5.468865487331714E+02
"HICITD_m"	 0.000000000000000E+00	 7.153871560244757E+03
"HISTD_c"	 1.148764678832528E+00	 0.000000000000000E+00
"HISTP_c"	 1.148764678832528E+00	 0.000000000000000E+00
"HMGCOAR_c"	 5.285219478070432E+01	 0.000000000000000E+00
"HMGCOAS_c"	 5.285219478070432E+01	 0.000000000000000E+00
"HSDx_c"	 0.000000000000000E+00	 3.948092960869630E+05
"HSDy_c"	 5.836439464543460E-05	 0.000000000000000E+00
"HSERTA_c"	 0.000000000000000E+00	 9.235724054329953E+02
"HSK_c"	 0.000000000000000E+00	 3.938069542224773E+05
"HSTPT_c"	 1.148764678832528E+00	 0.000000000000000E+00
"ICDHx_m"	 9.999999999999999E-05	 0.000000000000000E+00
"ICDHyi_m"	 9.999635420658660E-05	 0.000000000000000E+00
"ICL_1_c"	 2.000000000000000E-04	 0.000000000000000E+00
"IG3PS_c"	 1.148764678832528E+00	 0.000000000000000E+00
"IGPDH_c"	 1.148764678832528E+00	 0.000000000000000E+00
"IGPS_c"	 0.000000000000000E+00	 8.646029198398835E+02
"ILETA_m"	 1.085122821775727E+02	 0.000000000000000E+00
"ILEt_c_m"	 1.085122821775727E+02	 0.000000000000000E+00
"IMPC_c"	 1.114332854496105E+04	 0.000000000000000E+00
"IMPD_c"	 1.290945160250266E+01	 0.000000000000000E+00
"IPDDI_c"	 1.761739826023478E+01	 0.000000000000000E+00
"IPMD_c"	 1.475694964219076E+02	 0.000000000000000E+00
"IPPMIa_c"	 1.475694964219076E+02	 0.000000000000000E+00
"IPPMIb_c"	 1.475694964219076E+02	 0.000000000000000E+00
"IPPS_c"	 1.475694964219076E+02	 0.000000000000000E+00
"KARA1i_m"	 0.000000000000000E+00	 8.633360900287498E+02
"KARA2i_m"	 1.085122821775727E+02	 0.000000000000000E+00
"Ktps_e"	 1.217433636002998E+05	 0.000000000000000E+00
"LACPYRt_c_m"	 0.000000000000000E+00	 1.043081283569336E-04
"LACtps_m"	 1.043081283569336E-04	 0.000000000000000E+00
"LEUTA_c"	 1.475694964219076E+02	 0.000000000000000E+00
"LGTHL_c"	 0.000000000000000E+00	 3.881986334270391E+06
"LNS14DMy_c"	 8.808885701303597E+00	 0.000000000000000E+00
"LNSTLS_c"	 8.808885701303597E+00	 0.000000000000000E+00
"M1PS_c"	 4.186823302631059E+00	 0.000000000000000E+00
"MALS_c"	 9.999999999999999E-05	 0.000000000000000E+00
"MALt2_m"	 9.999987919365554E-05	 0.000000000000000E+00
"MAN1PT_c"	 0.000000000000000E+00	 1.637232170350103E+01
"MAN6PI_c"	 3.168044921190971E+02	 0.000000000000000E+00
"MDH_c"	 0.000000000000000E+00	 4.310526447492678E+06
