index	prosynSlack(% higher/lower than measured value)
YMR116C	 7.107924314946068E+06
YGR214W	 1.179026438807336E+06
YDR025W	 3.474168592935046E+05
YOR369C	 7.185375061025779E+05
YDR064W	 9.069758711103654E+04
YOL040C	 1.314566471270000E+05
YMR143W	 3.901827228215422E+05
YML024W	 1.571349599095421E+06
YOL121C	 6.423200294107578E+04
YLR441C	 9.749849016521485E+04
YGL123W	 6.655520901051644E+04
YHL015W	 8.425552878782483E+05
YKR057W	 6.060080740939056E+05
YJL190C	 3.108109470178403E+05
YGR118W	 1.953835181913407E+06
YER074W	 1.012235927448144E+06
YGL189C	 1.199412303326269E+06
YKL156W	 8.163782069206765E+04
YLR388W	 1.991280331079235E+05
YNL178W	 1.885521150158468E+05
YLR167W	 2.208712031174069E+05
YJR123W	 2.518081691624974E+05
YOR096W	 6.094480012193212E+05
YBL072C	 3.181750946998762E+05
YPL081W	 3.003068226488883E+05
YLR075W	 3.703408819209206E+05
YPR102C	 2.671122820218258E+05
YEL054C	 3.557689134403249E+05
YKL006W	 2.203811777383426E+05
YLR029C	 1.256482552932041E+06
YIL133C	 2.735428929903850E+05
YKL180W	 3.429155042899855E+05
YOL120C	 1.397907668623243E+05
YBR084C-A	 5.999587197473791E+04
YMR242C	 7.929131127771651E+05
YBR191W	 9.256172013900196E+04
YLR061W	 8.852992353450924E+06
YBL087C	 1.322670301828703E+06
YGL031C	 2.522177976264190E+05
YOL127W	 4.320074940313349E+04
YLR344W	 2.193153123877823E+05
YHR010W	 9.154706760221187E+06
YGL103W	 2.908296355419960E+05
YOR063W	 2.924138602189393E+05
YGL030W	 1.376936681582831E+06
YDL075W	 1.761921657714766E+06
YBL092W	 1.402605985116404E+06
YPL143W	 7.663478668494281E+06
YDL191W	 8.551969360793711E+05
YLR185W	 4.853612394878751E+06
YLR325C	 1.400404819238249E+06
YBR031W	 2.395330981939476E+06
YPL131W	 1.095673774219798E+06
YML073C	 2.365875164804253E+06
YGL076C	 7.530997865028164E+04
YHL033C	 1.744807557369256E+05
YLR340W	 2.402099491010223E+05
YDL081C	 1.934055721389473E+05
YDL130W	 8.752633459225267E+06
YOL039W	 4.832302980916953E+04
YDR382W	 2.136009445076628E+04
