index	prosynSlack(% higher/lower than measured value)
YMR116C	 6.751064635716443E+06
YGR214W	 1.119828177225819E+06
YDR025W	 3.299697109102891E+05
YOR369C	 6.824581768055607E+05
YDR064W	 8.613907740769510E+04
YOL040C	 1.248518212549851E+05
YMR143W	 3.705885063270792E+05
YML024W	 1.492454680477944E+06
YOL121C	 6.100220280020135E+04
YLR441C	 9.259853986250988E+04
YGL123W	 6.320877187798435E+04
YHL015W	 8.002496228425961E+05
YKR057W	 5.755783058044483E+05
YJL190C	 2.952016052506115E+05
YGR118W	 1.855737503661670E+06
YER074W	 9.614114144280993E+05
YGL189C	 1.139190565635118E+06
YKL156W	 7.753415824232527E+04
YLR388W	 1.891257527500823E+05
YNL178W	 1.790808005875904E+05
YLR167W	 2.097773028760062E+05
YJR123W	 2.391610728021731E+05
YOR096W	 5.788455307504456E+05
YBL072C	 3.021960345322636E+05
YPL081W	 2.852248423940576E+05
YLR075W	 3.517428287294210E+05
YPR102C	 2.536968398365737E+05
YEL054C	 3.379024486294102E+05
YKL006W	 2.093118793119948E+05
YLR029C	 1.193395592773228E+06
YIL133C	 2.598046007886149E+05
YKL180W	 3.256943472696973E+05
YOL120C	 1.327675249630661E+05
YBR084C-A	 5.697874757480648E+04
YMR242C	 7.530997423508016E+05
YBR191W	 8.790962129120553E+04
YLR061W	 8.408521209648047E+06
YBL087C	 1.256260373459086E+06
YGL031C	 2.395501357930798E+05
YOL127W	 4.102682724730841E+04
YLR344W	 2.082995259290712E+05
YHR010W	 8.695087988660116E+06
YGL103W	 2.762234592238307E+05
YOR063W	 2.777281476070035E+05
YGL030W	 1.307802299551556E+06
YDL075W	 1.673459033544281E+06
YBL092W	 1.332182870939717E+06
YPL143W	 7.278727279892619E+06
YDL191W	 8.122565947508283E+05
YLR185W	 4.609930863758042E+06
YLR325C	 1.330092215002778E+06
YBR031W	 2.275067925152490E+06
YPL131W	 1.040660248625341E+06
YML073C	 2.247090942780427E+06
YGL076C	 7.152400668402556E+04
YHL033C	 1.657158965114239E+05
YLR340W	 2.281451435302877E+05
YDL081C	 1.836905889955373E+05
YDL130W	 8.313200852322989E+06
YOL039W	 4.589194261540577E+04
YDR382W	 2.028268642814107E+04
