id,flux,
FUM_c,0.066307439,
FUM_m,-0.000123796,
G3PAT_c,0.003930413,
G5SDy_c,1.95E-08,
G6PDH2i_c,0.158514987,
GALUi_c,0.079411704,
GAPD_c,9.894174125,
GARFT_c,0.015020955,
GF6PTA_c,0.001061093,
GK1_c,3.58362E-05,
GK2_c,0.007426281,
GLCt_c_e,5.3317693,
GLNS_c,0.335543186,
GLU5K_c,1.93E-08,
GLUDC_c,0.020242899,
GLUDxi_c,9.84E-08,
GLUDy_c,0.672120284,
GLUPRT_c,0.015020954,
GLUSx_c,0.205955769,
GLUt_c_m,0.194057657,
GLYGS_c,0.021637106,
GLYOX_c,2.79138E-05,
GMPS2_c,0.007462116,
GND_c,0.158514987,
GRTT_c,0.005005949,
H2Ot_c_e,2.884482063,
H2Ot_c_m,5.005633921,
HACNH_m,0.023309996,
HCITR_m,0.023309995,
HCITS_m,0.023309995,
HCO3E_c,0.617681911,
HEX1_c,5.3317693,
HICITD_m,0.023309996,
HISTD_c,0.006847531,
HISTP_c,0.006847531,
HMGCOAR_c,0.01501785,
HMGCOAS_c,0.015017851,
HSDx_c,0.044704063,
HSDy_c,1.12E-08,
HSERTA_c,0.004511013,
HSK_c,0.040193061,
HSTPT_c,0.006847532,
Ht_c_e,0.272744635,
Ht_c_m,1.93E-08,
ICDHx_m,1.93E-08,
ICDHyi_c,0.127142326,
ICDHyi_m,1.93E-08,
ICL_1_c,0.002834976,
IG3PS_c,0.006847531,
IGPDH_c,0.006847532,
IGPS_c,0.002306163,
ILETA_m,0.020897346,
ILEt_c_m,0.020897345,
IMPC_c,0.02186849,
IMPD_c,0.007462115,
IPDDI_c,0.00500595,
IPMD_c,0.028419002,
IPPMIa_c,0.028419002,
IPPMIb_c,0.028419001,
IPPS_c,0.028419001,
KARA1i_m,0.054425426,
KARA2i_m,0.020897346,
KYN_c,1.95E-08,
Ktps_e,0.045437194,
LACPYRt_c_m,-5.96E-08,
LACtps_m,5.97E-08,
LEUTA_c,0.028419003,
LGTHL_c,2.79145E-05,
LNS14DMy_c,0.002502977,
LNSTLS_c,0.002502976,
M1PS_c,0.0008063,
MALS_c,0.002834956,
MAN1PT_c,0.028921284,
MAN6PI_c,0.028921285,
MDH_c,-0.272419929,
MDH_m,0.023739691,
ME1_m,0.317698818,
ME2_m,1.93E-08,
METAT_c,0.008301399,
METB1_c,1.93E-08,
METS_c,0.012346058,
MEVK1_c,0.015017849,
MG2t_c_e,0.004787747,
MGSA_c,4.22E-12,
MI1PP_c,0.000806301,
MN2t_c_e,7.08E-06,
MTHFR3_c,0.012346057,
NDPK1_c,0.050588954,
NDPK2_c,0.09718509,
NDPK3_c,0.003503872,
NDPK4_c,0.000297545,
NDPK5_c,0.000200821,
NDPK6_c,0.000297542,
NDPK7_c,0.000200823,
NDPK8_c,0.007723826,
NH4t_c_e,0.598962458,
NH4t_c_m,0.290009953,
NTP5_c,1.93E-08,
O2t_c_e,1.079514657,
O2t_c_m,1.042515223,
OAAtps_m,0.152432343,
OCBT_c,0.013678414,
OMCDC_c,0.028419003,
OMPDC_c,0.017009837,
ORNTACi_m,0.055404127,
ORNTA_c,0.041709067,
ORNtpa_m,0.055404125,
ORPT_c,0.017009837,
PAILS_c,0.000806301,
PAPSR_c,0.004541384,
PAP_c,0.000225737,
PC_c,0.516398083,
PDH_m,0.153287334,
PDMEMT_c,0.001932802,
PEMT_c,0.001932802,
PFK_c,5.351890579,
PGCD_c,0.45929895,
PGI_c,5.091951732,
PGK_c,9.894174123,
PGL_c,0.158514987,
PGMT_c,0.079411704,
PGM_c,9.434875172,
PHETA1_c,0.013340235,
PItps_e,0.043688199,
PItps_m,2.602895945,
PMANM_c,0.028921286,
PMEMT_c,0.001932802,
PMEVK_c,0.015017848,
PPA_c,1.12E-07,
PPA_m,0.793799707,
PPCK_c,1.93E-08,
PPIt_c_m,0.793799706,
PPND2_c,0.006953967,
PPNDH_c,0.013340237,
PRAGSi_c,0.015020954,
PRAIS_c,0.015020956,
PRAIi_c,0.002306163,
PRAMPC_c,0.006847532,
PRASCSi_c,0.015020959,
PRATPP_c,0.006847532,
PRFGS_c,0.015020956,
PRMICI_c,0.006847532,
PRPPS_c,0.041184486,
PSCIT_c,0.022600347,
PSD_c,0.002452246,
PSERT_c,0.459298952,
PSP_L_c,0.459298953,
PSSA_c,0.002898376,
PYK_c,9.389674497,
PYRDC_c,8.993864195,
PYRtps_m,1.93E-08,
RNDR1_c,0.000297545,
RNDR2_c,0.000200819,
RNDR3_c,0.000200824,
RNDR4_c,0.000297541,
RPE_c,0.070686885,
RPI_c,0.087828102,
SACCD1_c,0.023309998,
SACCD2_c,0.023309999,
SADT_c,1.32E-07,
SAM24MT_c,0.002502978,
SBP_c,0.002022382,
SERAT_c,3.0393E-05,
SHK3Di_c,0.022600348,
SHKK_c,0.022600348,
SLFAT_c,0.004541252,
SO3R_c,0.004541385,
SO4t_c_e,0.006891563,
SQLEy_c,0.002502976,
SQLS_c,0.002502975,
SSALy_c,0.020242897,
STATg_c,0.000510186,
SUCFUMt_c_m,0.056266808,
SUCOAS_m,1.93E-08,
TALA_c,0.048665998,
THRA_c,1.93E-08,
THRD_L_m,0.020431007,
THRS_c,0.040193061,
THRt_c_m,0.020431006,
TMDS_c,0.000297543,
TPI_c,4.735168448,
TRDR_c,0.005538113,
TRE6PP_c,0.001084576,
TRE6PS_c,0.001084576,
TRPO2_c,1.98E-08,
TRPS1_c,0.002306165,
TYRTA_c,0.006953964,
UAGDP_c,0.001061092,
UMPK_c,0.017009836,
UREASE_c,-1.66E-05,
VALTA_c,0.028419001,
VALTA_m,0.054425423,
VALt_c_m,0.054425425,
ZN2t_c_e,0.00011863,
compACYLCOA_c,0.008885041,
lumpFACOA160_c,0.009572566,
lumpFACOA180_c,0.002595256,
lumpFACOA200_c,0.000288289,
lumpFACOA220_c,0.000288289,
lumpFACOA240_c,0.000288288,
lumpFACOA260_c,0.000144144,
lumpIPC_c,7.20719E-05,
CYSTS_c,0.118725056,
FDH_c,0.538689915,
HCYSMT_c,1.51E-08,
LALDO3_c,-2.79147E-05,
LCADi_c,-2.79147E-05,
MALt2_m,1.93E-08,
P5CD_m,0.026736736,
SERD_L_c,-8.42E-07,
SUCCt2_m,-0.000123815,
lumpFREEFA_c,0.000110949,
ALDD2y_c,0.157553325,
FECRq6_m,2.085030449,
FRD_m,0.010753397,
G3PT_c,0.393557383,
G3PD1i_m,1.99E-08,
ASNN_c,1.93E-08,
NADHq6_c,1.203826515,
NADHq6_m,0.81435154,
SUCDq6_m,0.066896408,
ALCD2i2_c,8.836310804,
GLYCt_c_e,0.393557383,
EX_glyc_e,0.393557384,
G3PD1i_c,0.397487773,
GLYC3Pt_c_m,2.13E-08,
DHAPt_c_m,1.93E-08,
ALCD2i2_m,1.91E-08,
ETOHt_c_m,1.91E-08,
ACALDt_c_m,8.53E-08,
G5SADr_c,0.041709086,
P5CR_c,0.041709087,
PROt_c_m,0.026736754,
PROD2_m,0.026736753,
G5SADr_m,1.85E-08,
P5CD2_m,1.93E-08,
GHMT2r_c,0.454993169,
MTHFD2i_c,6.95E-08,
MTHFD_c,0.442349499,
MTHFC_c,0.442349568,
FTHFL_c,-0.405460125,
GHMT2r_m,-0.138852151,
GLYCL_m,0.269578946,
MTHFD_m,0.130726795,
MTHFC_m,0.130726795,
FTHFL_m,-0.130726795,
GLYt_c_m,0.408431095,
FORt_c_m,0.130726795,
SERt_c_m,-0.138852151,
FRD_c,0.016055282,
ETFOXRq6_m,-4.4013E-05,
FADH2t_c_m,0.016027368,
FADt_c_m,0.016027371,
OAADC_c,-4.11E-06,
CYSTGL_c,0.000466339,
2OBUTt_c_m,0.000466339,
LDHDf_c,-2.79126E-05,
TKT1_c,0.046643616,
TKT2_c,0.024043269,
