id,flux
EX_h2o_e,14.98189363
EX_h_e,0.953711581
EX_k_e,-0.235999106
EX_mg2_e,-0.024867383
EX_mn2_e,-3.67485E-05
EX_nh4_e,-3.11098896
EX_o2_e,-5.606959389
EX_pi_e,-0.226914895
EX_so4_e,-0.035794517
EX_zn2_e,-0.000616171
FBA3_c,-0.01050418
FBA_c,26.66933173
FBP_c,1.128190901
FE2t_c_e,0.000259591
FECOOR_m,10.82957139
FKYNH_c,1E-07
FUM_c,0.344398397
FUM_m,-0.000642992
G3PAT_c,0.020414419
G5SDy_c,1.01457E-07
G6PDH2i_c,0.823321008
GALUi_c,0.412461469
GAPD_c,51.38997614
GARFT_c,0.078018286
GF6PTA_c,0.005511277
GK1_c,0.000186132
GK2_c,0.038571828
GLCt_c_e,27.69301345
GLNS_c,1.742798954
GLU5K_c,9.99994E-08
GLUDC_c,0.105140873
GLUDxi_c,5.1104E-07
GLUDy_c,3.490968009
GLUPRT_c,0.07801828
GLUSx_c,1.069726682
GLUt_c_m,1.007928327
GLYGS_c,0.112382334
GLYOX_c,0.000144983
GMPS2_c,0.038757956
GND_c,0.823321006
GRTT_c,0.026000716
H2Ot_c_e,14.98189364
H2Ot_c_m,25.9990783
HACNH_m,0.121071263
HCITR_m,0.121071258
HCITS_m,0.121071255
HCO3E_c,3.208217106
HEX1_c,27.69301345
HICITD_m,0.121071261
HISTD_c,0.035565825
HISTP_c,0.035565824
HMGCOAR_c,0.078002159
HMGCOAS_c,0.078002164
HSDx_c,0.232191258
HSDy_c,5.83644E-08
HSERTA_c,0.023430033
HSK_c,0.208761281
HSTPT_c,0.035565829
Ht_c_e,1.416625592
Ht_c_m,1.00105E-07
ICDHx_m,1.00013E-07
ICDHyi_c,0.660372561
ICDHyi_m,9.99964E-08
ICL_1_c,0.014724762
IG3PS_c,0.035565824
IGPDH_c,0.035565829
IGPS_c,0.011978128
ILETA_m,0.108540047
ILEt_c_m,0.108540042
IMPC_c,0.113584132
IMPD_c,0.038757953
IPDDI_c,0.026000722
IPMD_c,0.147607252
IPPMIa_c,0.147607252
IPPMIb_c,0.147607245
IPPS_c,0.147607244
KARA1i_m,0.282683657
KARA2i_m,0.108540047
KYN_c,1.01071E-07
Ktps_e,0.235999111
LACPYRt_c_m,-3.09727E-07
LACtps_m,3.10252E-07
LEUTA_c,0.147607256
LGTHL_c,0.000144987
LNS14DMy_c,0.013000368
LNSTLS_c,0.013000364
M1PS_c,0.004187895
MALS_c,0.014724657
MAN1PT_c,0.150216084
MAN6PI_c,0.15021609
MDH_c,-1.414939084
MDH_m,0.123303082
ME1_m,1.650115963
ME2_m,1E-07
METAT_c,0.04311716
METB1_c,9.99998E-08
METS_c,0.06412497
MEVK1_c,0.078002157
MG2t_c_e,0.024867383
MGSA_c,2.19141E-11
MI1PP_c,0.004187897
MN2t_c_e,3.67491E-05
MTHFR3_c,0.064124967
NDPK1_c,0.262757165
NDPK2_c,0.504775781
NDPK3_c,0.018198982
NDPK4_c,0.001545436
NDPK5_c,0.001043059
NDPK6_c,0.001545422
NDPK7_c,0.001043068
NDPK8_c,0.040117269
NH4t_c_e,3.110988957
NH4t_c_m,1.506301017
NTP5_c,1.00001E-07
O2t_c_e,5.606959387
O2t_c_m,5.414785689
OAAtps_m,0.79172798
OCBT_c,0.071045179
OMCDC_c,0.147607253
OMPDC_c,0.088348465
ORNTACi_m,0.287766995
ORNTA_c,0.216635356
ORNtpa_m,0.287766984
ORPT_c,0.088348466
PAILS_c,0.004187899
PAPSR_c,0.023587779
PAP_c,0.00117247
PC_c,2.682152631
PDH_m,0.796168769
PDMEMT_c,0.010038903
PEMT_c,0.010038902
PFK_c,27.79752263
PGCD_c,2.385581839
PGI_c,26.44740983
PGK_c,51.38997613
PGL_c,0.823321008
PGMT_c,0.412461469
PGM_c,49.00439429
PHETA1_c,0.069288691
PItps_e,0.226914896
PItps_m,13.51934571
PMANM_c,0.150216093
PMEMT_c,0.010038902
PMEVK_c,0.078002152
PPA_c,5.82801E-07
PPA_m,4.122966453
PPCK_c,9.9998E-08
PPIt_c_m,4.122966451
PPND2_c,0.036118647
PPNDH_c,0.069288699
PRAGSi_c,0.078018284
PRAIS_c,0.078018294
PRAIi_c,0.011978128
PRAMPC_c,0.035565831
PRASCSi_c,0.078018306
PRATPP_c,0.035565831
PRFGS_c,0.078018293
PRMICI_c,0.03556583
PRPPS_c,0.213910703
PSCIT_c,0.117385372
PSD_c,0.012736874
PSERT_c,2.385581849
PSP_L_c,2.385581852
PSSA_c,0.015054056
PYK_c,48.76962365
PYRDC_c,46.71379951
PYRtps_m,1E-07
RNDR1_c,0.00154544
RNDR2_c,0.001043049
RNDR3_c,0.00104307
RNDR4_c,0.001545419
RPE_c,0.367145079
RPI_c,0.456175927
SACCD1_c,0.121071272
SACCD2_c,0.121071279
SADT_c,6.84706E-07
SAM24MT_c,0.013000377
SBP_c,0.010504179
SERAT_c,0.00015786
SHK3Di_c,0.117385374
SHKK_c,0.117385373
SLFAT_c,0.023587097
SO3R_c,0.023587785
SO4t_c_e,0.035794525
SQLEy_c,0.013000363
SQLS_c,0.013000358
SSALy_c,0.105140861
STATg_c,0.002649889
SUCFUMt_c_m,0.292247727
SUCOAS_m,1E-07
TALA_c,0.252769404
THRA_c,1E-07
THRD_L_m,0.106117897
THRS_c,0.20876128
THRt_c_m,0.106117895
TMDS_c,0.001545427
TPI_c,24.59429059
TRDR_c,0.028764754
TRE6PP_c,0.005633248
TRE6PS_c,0.005633246
TRPO2_c,1.02941E-07
TRPS1_c,0.011978137
TYRTA_c,0.036118633
UAGDP_c,0.005511273
UMPK_c,0.088348464
UREASE_c,-8.64613E-05
VALTA_c,0.147607246
VALTA_m,0.282683643
VALt_c_m,0.282683652
ZN2t_c_e,0.000616158
compACYLCOA_c,0.046148575
lumpFACOA160_c,0.049719554
lumpFACOA180_c,0.013479664
lumpFACOA200_c,0.001497362
lumpFACOA220_c,0.00149736
lumpFACOA240_c,0.001497359
lumpFACOA260_c,0.000748677
lumpIPC_c,0.000374339
CYSTS_c,0.616653569
FDH_c,2.797935585
HCYSMT_c,7.84782E-08
LALDO3_c,-0.000144988
LCADi_c,-0.000144988
MALt2_m,9.99999E-08
P5CD_m,0.13886962
SERD_L_c,-4.37255E-06
SUCCt2_m,-0.000643093
lumpFREEFA_c,0.000576265
ALDD2y_c,0.818326167
FECRq6_m,10.82957139
FRD_m,0.055852747
G3PT_c,2.044122558
G3PD1i_m,1.03127E-07
ASNN_c,1E-07
NADHq6_c,6.252630599
NADHq6_m,4.229711917
SUCDq6_m,0.347457481
ALCD2i2_c,45.895473
GLYCt_c_e,2.044122559
EX_glyc_e,2.044122561
G3PD1i_c,2.064536859
GLYC3Pt_c_m,1.10444E-07
DHAPt_c_m,9.99979E-08
ALCD2i2_m,9.93661E-08
ETOHt_c_m,9.94169E-08
ACALDt_c_m,4.43221E-07
G5SADr_c,0.216635458
P5CR_c,0.21663546
PROt_c_m,0.138869715
PROD2_m,0.138869711
G5SADr_m,9.61043E-08
P5CD2_m,9.99985E-08
GHMT2r_c,2.363217769
MTHFD2i_c,3.60896E-07
MTHFD_c,2.297547011
MTHFC_c,2.297547372
FTHFL_c,-2.10594496
GHMT2r_m,-0.721192958
GLYCL_m,1.40018312
MTHFD_m,0.678990159
MTHFC_m,0.67899016
FTHFL_m,-0.67899016
GLYt_c_m,2.121376071
FORt_c_m,0.678990159
SERt_c_m,-0.721192958
FRD_c,0.083390542
ETFOXRq6_m,-0.000228602
FADH2t_c_m,0.083245557
FADt_c_m,0.083245573
OAADC_c,-2.13454E-05
CYSTGL_c,0.00242215
2OBUTt_c_m,0.00242215
LDHDf_c,-0.000144977
TKT1_c,0.242265225
TKT2_c,0.124879856
